1, memory_percent: 1.2739464060620294, cpu_percent: 50.0
2, memory_percent: 1.403677897497484, cpu_percent: 17.6
3, memory_percent: 1.403677897497484, cpu_percent: 12.5
4, memory_percent: 1.424196587705548, cpu_percent: 12.5
5, memory_percent: 1.6305234170199685, cpu_percent: 46.5
6, memory_percent: 1.6305234170199685, cpu_percent: 23.5
7, memory_percent: 1.6305234170199685, cpu_percent: 12.7
8, memory_percent: 1.6305234170199685, cpu_percent: 12.7
9, memory_percent: 1.6305234170199685, cpu_percent: 13.0
10, memory_percent: 1.6305234170199685, cpu_percent: 12.5
11, memory_percent: 1.6305234170199685, cpu_percent: 12.7
12, memory_percent: 1.6305234170199685, cpu_percent: 12.8
13, memory_percent: 1.6305234170199685, cpu_percent: 12.6
14, memory_percent: 1.6305234170199685, cpu_percent: 12.6
15, memory_percent: 1.6305234170199685, cpu_percent: 12.8
16, memory_percent: 1.6305234170199685, cpu_percent: 12.5
17, memory_percent: 1.6305234170199685, cpu_percent: 13.1
18, memory_percent: 1.6305234170199685, cpu_percent: 12.5
19, memory_percent: 1.4819572187899905, cpu_percent: 19.5
20, memory_percent: 3.150447984926017, cpu_percent: 76.5
21, memory_percent: 3.761539658262769, cpu_percent: 99.4
22, memory_percent: 3.9160904744700993, cpu_percent: 99.6
23, memory_percent: 4.3058808198304845, cpu_percent: 99.0
24, memory_percent: 4.601627168403912, cpu_percent: 99.1
25, memory_percent: 4.779986919334992, cpu_percent: 100.0
26, memory_percent: 5.011068304828459, cpu_percent: 99.5
27, memory_percent: 5.621045958368562, cpu_percent: 98.4
28, memory_percent: 5.826414212509121, cpu_percent: 99.8
29, memory_percent: 6.051213044498225, cpu_percent: 99.6
30, memory_percent: 6.374226970652444, cpu_percent: 99.4
31, memory_percent: 6.738913009432509, cpu_percent: 99.8
32, memory_percent: 6.864395681178416, cpu_percent: 100.0
33, memory_percent: 7.156644525739103, cpu_percent: 99.5
34, memory_percent: 7.6723191081209325, cpu_percent: 99.5
35, memory_percent: 7.839797735456827, cpu_percent: 99.9
36, memory_percent: 8.183576472471858, cpu_percent: 99.3
37, memory_percent: 8.51753629081409, cpu_percent: 83.2
38, memory_percent: 8.615479356889324, cpu_percent: 72.0
39, memory_percent: 8.625984822646107, cpu_percent: 46.1
40, memory_percent: 8.955747636173053, cpu_percent: 58.5
41, memory_percent: 8.955747636173053, cpu_percent: 13.0
42, memory_percent: 8.955954895670102, cpu_percent: 12.8
43, memory_percent: 8.955954895670102, cpu_percent: 13.0
44, memory_percent: 8.955954895670102, cpu_percent: 12.7
45, memory_percent: 8.955954895670102, cpu_percent: 13.0
46, memory_percent: 8.955954895670102, cpu_percent: 12.8
47, memory_percent: 8.955954895670102, cpu_percent: 12.6
48, memory_percent: 8.955954895670102, cpu_percent: 13.0
49, memory_percent: 8.955954895670102, cpu_percent: 12.6
50, memory_percent: 8.955954895670102, cpu_percent: 12.6
51, memory_percent: 8.955954895670102, cpu_percent: 12.7
52, memory_percent: 8.955954895670102, cpu_percent: 12.8
53, memory_percent: 8.955954895670102, cpu_percent: 13.0
54, memory_percent: 8.955954895670102, cpu_percent: 12.9
55, memory_percent: 8.955954895670102, cpu_percent: 12.7
56, memory_percent: 8.955954895670102, cpu_percent: 12.6
57, memory_percent: 8.955954895670102, cpu_percent: 12.6
58, memory_percent: 8.955954895670102, cpu_percent: 12.5
59, memory_percent: 8.955954895670102, cpu_percent: 12.6
60, memory_percent: 8.955954895670102, cpu_percent: 13.0
61, memory_percent: 8.955954895670102, cpu_percent: 13.0
62, memory_percent: 8.955954895670102, cpu_percent: 12.7
63, memory_percent: 8.955954895670102, cpu_percent: 13.2
64, memory_percent: 8.955954895670102, cpu_percent: 13.2
65, memory_percent: 8.955954895670102, cpu_percent: 13.0
66, memory_percent: 8.955954895670102, cpu_percent: 12.6
67, memory_percent: 8.955954895670102, cpu_percent: 12.8
68, memory_percent: 8.955954895670102, cpu_percent: 12.8
69, memory_percent: 8.955954895670102, cpu_percent: 12.5
70, memory_percent: 8.955954895670102, cpu_percent: 12.5
71, memory_percent: 8.955954895670102, cpu_percent: 12.7
72, memory_percent: 8.955954895670102, cpu_percent: 12.9
73, memory_percent: 8.955954895670102, cpu_percent: 12.6
74, memory_percent: 8.955954895670102, cpu_percent: 12.7
75, memory_percent: 8.955954895670102, cpu_percent: 12.7
76, memory_percent: 8.955954895670102, cpu_percent: 12.8
77, memory_percent: 8.956537813005559, cpu_percent: 12.6
78, memory_percent: 8.956537813005559, cpu_percent: 12.8
79, memory_percent: 8.956537813005559, cpu_percent: 12.5
80, memory_percent: 8.956537813005559, cpu_percent: 12.6
81, memory_percent: 8.956537813005559, cpu_percent: 12.7
82, memory_percent: 8.956537813005559, cpu_percent: 12.6
83, memory_percent: 8.956537813005559, cpu_percent: 12.7
84, memory_percent: 8.956537813005559, cpu_percent: 12.6
85, memory_percent: 8.956537813005559, cpu_percent: 12.7
86, memory_percent: 8.956537813005559, cpu_percent: 12.8
87, memory_percent: 8.956537813005559, cpu_percent: 12.7
88, memory_percent: 8.956537813005559, cpu_percent: 12.8
89, memory_percent: 8.956537813005559, cpu_percent: 12.8
90, memory_percent: 8.956537813005559, cpu_percent: 12.6
91, memory_percent: 8.956537813005559, cpu_percent: 13.2
92, memory_percent: 8.956537813005559, cpu_percent: 12.5
93, memory_percent: 8.956537813005559, cpu_percent: 12.8
94, memory_percent: 8.956537813005559, cpu_percent: 12.7
95, memory_percent: 8.803968915738782, cpu_percent: 12.6
96, memory_percent: 8.809979441153265, cpu_percent: 12.6
97, memory_percent: 8.962872181384185, cpu_percent: 20.7
98, memory_percent: 8.962872181384185, cpu_percent: 13.0
99, memory_percent: 8.962872181384185, cpu_percent: 13.2
100, memory_percent: 8.962872181384185, cpu_percent: 13.1
101, memory_percent: 8.962872181384185, cpu_percent: 12.8
102, memory_percent: 8.962872181384185, cpu_percent: 13.6
103, memory_percent: 8.962872181384185, cpu_percent: 12.7
104, memory_percent: 8.962872181384185, cpu_percent: 13.3
105, memory_percent: 8.962872181384185, cpu_percent: 12.7
106, memory_percent: 8.962872181384185, cpu_percent: 12.7
107, memory_percent: 8.962872181384185, cpu_percent: 13.3
108, memory_percent: 8.962872181384185, cpu_percent: 12.7
109, memory_percent: 8.962872181384185, cpu_percent: 12.6
110, memory_percent: 8.962872181384185, cpu_percent: 13.0
111, memory_percent: 8.962872181384185, cpu_percent: 13.1
112, memory_percent: 8.962872181384185, cpu_percent: 13.3
113, memory_percent: 8.962872181384185, cpu_percent: 13.2
114, memory_percent: 8.962872181384185, cpu_percent: 13.1
115, memory_percent: 8.962872181384185, cpu_percent: 13.1
116, memory_percent: 8.962872181384185, cpu_percent: 13.4
117, memory_percent: 8.962872181384185, cpu_percent: 13.0
118, memory_percent: 8.962872181384185, cpu_percent: 13.0
119, memory_percent: 8.962872181384185, cpu_percent: 13.1
120, memory_percent: 8.962872181384185, cpu_percent: 12.8
121, memory_percent: 8.962872181384185, cpu_percent: 13.3
122, memory_percent: 8.962872181384185, cpu_percent: 13.1
123, memory_percent: 8.962872181384185, cpu_percent: 13.3
124, memory_percent: 8.962872181384185, cpu_percent: 13.3
125, memory_percent: 8.962872181384185, cpu_percent: 13.2
126, memory_percent: 8.962872181384185, cpu_percent: 13.0
127, memory_percent: 8.962872181384185, cpu_percent: 12.9
128, memory_percent: 8.962872181384185, cpu_percent: 13.3
129, memory_percent: 8.962872181384185, cpu_percent: 13.4
130, memory_percent: 8.962872181384185, cpu_percent: 12.6
131, memory_percent: 8.962872181384185, cpu_percent: 12.9
132, memory_percent: 8.962872181384185, cpu_percent: 12.6
133, memory_percent: 8.962872181384185, cpu_percent: 12.9
134, memory_percent: 8.962872181384185, cpu_percent: 13.0
135, memory_percent: 8.962872181384185, cpu_percent: 12.9
136, memory_percent: 8.962872181384185, cpu_percent: 12.7
137, memory_percent: 8.962872181384185, cpu_percent: 13.3
138, memory_percent: 8.962872181384185, cpu_percent: 12.8
139, memory_percent: 8.962872181384185, cpu_percent: 12.8
140, memory_percent: 8.962872181384185, cpu_percent: 13.0
141, memory_percent: 8.962872181384185, cpu_percent: 12.7
142, memory_percent: 8.962872181384185, cpu_percent: 12.7
143, memory_percent: 8.962872181384185, cpu_percent: 12.9
144, memory_percent: 8.962872181384185, cpu_percent: 12.8
145, memory_percent: 8.962872181384185, cpu_percent: 13.3
146, memory_percent: 8.962872181384185, cpu_percent: 12.8
147, memory_percent: 8.962872181384185, cpu_percent: 13.2
148, memory_percent: 8.962872181384185, cpu_percent: 13.0
149, memory_percent: 8.962872181384185, cpu_percent: 12.8
150, memory_percent: 8.962872181384185, cpu_percent: 13.0
151, memory_percent: 8.962872181384185, cpu_percent: 13.1
152, memory_percent: 8.962911042539883, cpu_percent: 13.1
153, memory_percent: 8.962911042539883, cpu_percent: 13.8
154, memory_percent: 8.962911042539883, cpu_percent: 13.0
155, memory_percent: 8.962911042539883, cpu_percent: 12.7
156, memory_percent: 8.962911042539883, cpu_percent: 13.7
157, memory_percent: 8.962911042539883, cpu_percent: 12.7
158, memory_percent: 8.962911042539883, cpu_percent: 13.0
159, memory_percent: 8.962911042539883, cpu_percent: 13.5
160, memory_percent: 8.962911042539883, cpu_percent: 12.6
161, memory_percent: 8.962911042539883, cpu_percent: 12.9
162, memory_percent: 8.962949903695579, cpu_percent: 13.6
163, memory_percent: 8.962949903695579, cpu_percent: 12.9
164, memory_percent: 8.962949903695579, cpu_percent: 13.0
165, memory_percent: 8.962949903695579, cpu_percent: 13.6
166, memory_percent: 8.962949903695579, cpu_percent: 13.0
167, memory_percent: 8.962949903695579, cpu_percent: 13.1
168, memory_percent: 8.962949903695579, cpu_percent: 12.7
169, memory_percent: 8.962949903695579, cpu_percent: 13.1
170, memory_percent: 8.962949903695579, cpu_percent: 13.3
171, memory_percent: 8.962949903695579, cpu_percent: 13.3
172, memory_percent: 8.962949903695579, cpu_percent: 12.6
173, memory_percent: 8.962949903695579, cpu_percent: 13.3
174, memory_percent: 8.962949903695579, cpu_percent: 13.2
175, memory_percent: 8.962949903695579, cpu_percent: 12.8
176, memory_percent: 8.962949903695579, cpu_percent: 13.3
177, memory_percent: 8.962949903695579, cpu_percent: 12.7
178, memory_percent: 8.962949903695579, cpu_percent: 12.8
179, memory_percent: 8.962949903695579, cpu_percent: 13.2
180, memory_percent: 8.962949903695579, cpu_percent: 12.5
181, memory_percent: 8.962949903695579, cpu_percent: 13.1
182, memory_percent: 8.962949903695579, cpu_percent: 13.1
183, memory_percent: 8.962949903695579, cpu_percent: 12.7
184, memory_percent: 8.962949903695579, cpu_percent: 13.5
185, memory_percent: 8.962949903695579, cpu_percent: 12.8
186, memory_percent: 8.962949903695579, cpu_percent: 12.7
187, memory_percent: 8.962949903695579, cpu_percent: 13.4
188, memory_percent: 8.962949903695579, cpu_percent: 12.6
189, memory_percent: 8.962949903695579, cpu_percent: 12.7
190, memory_percent: 8.962949903695579, cpu_percent: 12.7
191, memory_percent: 8.962949903695579, cpu_percent: 12.6
192, memory_percent: 8.962949903695579, cpu_percent: 13.0
193, memory_percent: 8.962949903695579, cpu_percent: 12.7
194, memory_percent: 8.962949903695579, cpu_percent: 12.6
195, memory_percent: 8.962949903695579, cpu_percent: 12.8
196, memory_percent: 8.962949903695579, cpu_percent: 13.0
197, memory_percent: 8.962949903695579, cpu_percent: 12.9
198, memory_percent: 8.962949903695579, cpu_percent: 12.6
199, memory_percent: 8.962949903695579, cpu_percent: 12.5
200, memory_percent: 8.962949903695579, cpu_percent: 12.9
201, memory_percent: 8.962949903695579, cpu_percent: 12.7
202, memory_percent: 8.962949903695579, cpu_percent: 13.3
203, memory_percent: 8.962949903695579, cpu_percent: 13.1
204, memory_percent: 8.962949903695579, cpu_percent: 13.3
