1, memory_percent: 8.809992394871829, cpu_percent: 0.0
2, memory_percent: 8.962872181384185, cpu_percent: 18.1
3, memory_percent: 8.962872181384185, cpu_percent: 13.1
4, memory_percent: 8.962872181384185, cpu_percent: 13.4
5, memory_percent: 8.962872181384185, cpu_percent: 12.8
6, memory_percent: 8.962872181384185, cpu_percent: 13.0
7, memory_percent: 8.962872181384185, cpu_percent: 13.4
8, memory_percent: 8.962872181384185, cpu_percent: 12.9
9, memory_percent: 8.962872181384185, cpu_percent: 13.2
10, memory_percent: 8.962872181384185, cpu_percent: 12.8
11, memory_percent: 8.962872181384185, cpu_percent: 12.6
12, memory_percent: 8.962872181384185, cpu_percent: 13.3
13, memory_percent: 8.962872181384185, cpu_percent: 12.8
14, memory_percent: 8.962872181384185, cpu_percent: 12.6
15, memory_percent: 8.962872181384185, cpu_percent: 13.1
16, memory_percent: 8.962872181384185, cpu_percent: 13.2
17, memory_percent: 8.962872181384185, cpu_percent: 13.2
18, memory_percent: 8.962872181384185, cpu_percent: 13.1
19, memory_percent: 8.962872181384185, cpu_percent: 13.1
20, memory_percent: 8.962872181384185, cpu_percent: 13.5
21, memory_percent: 8.962872181384185, cpu_percent: 13.0
22, memory_percent: 8.962872181384185, cpu_percent: 13.0
23, memory_percent: 8.962872181384185, cpu_percent: 13.1
24, memory_percent: 8.962872181384185, cpu_percent: 13.0
25, memory_percent: 8.962872181384185, cpu_percent: 12.8
26, memory_percent: 8.962872181384185, cpu_percent: 13.3
27, memory_percent: 8.962872181384185, cpu_percent: 13.2
28, memory_percent: 8.962872181384185, cpu_percent: 13.4
29, memory_percent: 8.962872181384185, cpu_percent: 13.4
30, memory_percent: 8.962872181384185, cpu_percent: 12.9
31, memory_percent: 8.962872181384185, cpu_percent: 13.0
32, memory_percent: 8.962872181384185, cpu_percent: 13.0
33, memory_percent: 8.962872181384185, cpu_percent: 13.3
34, memory_percent: 8.962872181384185, cpu_percent: 13.3
35, memory_percent: 8.962872181384185, cpu_percent: 12.6
36, memory_percent: 8.962872181384185, cpu_percent: 12.8
37, memory_percent: 8.962872181384185, cpu_percent: 12.8
38, memory_percent: 8.962872181384185, cpu_percent: 12.7
39, memory_percent: 8.962872181384185, cpu_percent: 13.0
40, memory_percent: 8.962872181384185, cpu_percent: 13.0
41, memory_percent: 8.962872181384185, cpu_percent: 12.6
42, memory_percent: 8.962872181384185, cpu_percent: 13.3
43, memory_percent: 8.962872181384185, cpu_percent: 12.8
44, memory_percent: 8.962872181384185, cpu_percent: 13.0
45, memory_percent: 8.962872181384185, cpu_percent: 13.0
46, memory_percent: 8.962872181384185, cpu_percent: 12.6
47, memory_percent: 8.962872181384185, cpu_percent: 12.9
48, memory_percent: 8.962872181384185, cpu_percent: 12.7
49, memory_percent: 8.962872181384185, cpu_percent: 13.2
50, memory_percent: 8.962872181384185, cpu_percent: 13.0
51, memory_percent: 8.962872181384185, cpu_percent: 12.8
52, memory_percent: 8.962872181384185, cpu_percent: 13.3
53, memory_percent: 8.962872181384185, cpu_percent: 13.0
54, memory_percent: 8.962872181384185, cpu_percent: 12.9
55, memory_percent: 8.962872181384185, cpu_percent: 13.2
56, memory_percent: 8.962911042539883, cpu_percent: 12.7
57, memory_percent: 8.962911042539883, cpu_percent: 13.5
58, memory_percent: 8.962911042539883, cpu_percent: 13.7
59, memory_percent: 8.962911042539883, cpu_percent: 12.9
60, memory_percent: 8.962911042539883, cpu_percent: 13.0
61, memory_percent: 8.962911042539883, cpu_percent: 13.3
62, memory_percent: 8.962911042539883, cpu_percent: 12.7
63, memory_percent: 8.962911042539883, cpu_percent: 13.3
64, memory_percent: 8.962911042539883, cpu_percent: 13.3
65, memory_percent: 8.962911042539883, cpu_percent: 12.5
66, memory_percent: 8.962911042539883, cpu_percent: 13.2
67, memory_percent: 8.962949903695579, cpu_percent: 13.4
68, memory_percent: 8.962949903695579, cpu_percent: 12.7
69, memory_percent: 8.962949903695579, cpu_percent: 13.3
70, memory_percent: 8.962949903695579, cpu_percent: 13.3
71, memory_percent: 8.962949903695579, cpu_percent: 13.2
72, memory_percent: 8.962949903695579, cpu_percent: 13.0
73, memory_percent: 8.962949903695579, cpu_percent: 12.6
74, memory_percent: 8.962949903695579, cpu_percent: 13.3
75, memory_percent: 8.962949903695579, cpu_percent: 13.3
76, memory_percent: 8.962949903695579, cpu_percent: 13.1
77, memory_percent: 8.962949903695579, cpu_percent: 12.9
78, memory_percent: 8.962949903695579, cpu_percent: 13.3
79, memory_percent: 8.962949903695579, cpu_percent: 13.0
80, memory_percent: 8.962949903695579, cpu_percent: 13.0
81, memory_percent: 8.962949903695579, cpu_percent: 13.3
82, memory_percent: 8.962949903695579, cpu_percent: 12.5
83, memory_percent: 8.962949903695579, cpu_percent: 13.2
84, memory_percent: 8.962949903695579, cpu_percent: 12.9
85, memory_percent: 8.962949903695579, cpu_percent: 12.5
86, memory_percent: 8.962949903695579, cpu_percent: 13.3
87, memory_percent: 8.962949903695579, cpu_percent: 13.1
88, memory_percent: 8.962949903695579, cpu_percent: 12.7
89, memory_percent: 8.962949903695579, cpu_percent: 13.5
90, memory_percent: 8.962949903695579, cpu_percent: 12.6
91, memory_percent: 8.962949903695579, cpu_percent: 13.1
92, memory_percent: 8.962949903695579, cpu_percent: 13.1
93, memory_percent: 8.962949903695579, cpu_percent: 12.7
94, memory_percent: 8.962949903695579, cpu_percent: 12.8
95, memory_percent: 8.962949903695579, cpu_percent: 12.6
96, memory_percent: 8.962949903695579, cpu_percent: 12.6
97, memory_percent: 8.962949903695579, cpu_percent: 13.1
98, memory_percent: 8.962949903695579, cpu_percent: 12.5
99, memory_percent: 8.962949903695579, cpu_percent: 12.6
100, memory_percent: 8.962949903695579, cpu_percent: 13.3
101, memory_percent: 8.962949903695579, cpu_percent: 12.8
102, memory_percent: 8.962949903695579, cpu_percent: 12.6
103, memory_percent: 8.962949903695579, cpu_percent: 12.6
104, memory_percent: 8.962949903695579, cpu_percent: 12.5
105, memory_percent: 8.962949903695579, cpu_percent: 12.9
106, memory_percent: 8.962949903695579, cpu_percent: 13.1
107, memory_percent: 8.962949903695579, cpu_percent: 13.1
108, memory_percent: 8.962949903695579, cpu_percent: 13.4
109, memory_percent: 8.962949903695579, cpu_percent: 13.0
110, memory_percent: 8.962949903695579, cpu_percent: 12.5
111, memory_percent: 8.962949903695579, cpu_percent: 13.1
112, memory_percent: 8.962949903695579, cpu_percent: 12.8
113, memory_percent: 8.962949903695579, cpu_percent: 12.7
114, memory_percent: 8.962949903695579, cpu_percent: 13.1
115, memory_percent: 8.962949903695579, cpu_percent: 12.8
116, memory_percent: 8.962949903695579, cpu_percent: 12.9
117, memory_percent: 8.962949903695579, cpu_percent: 13.0
118, memory_percent: 8.962949903695579, cpu_percent: 12.6
119, memory_percent: 8.962949903695579, cpu_percent: 12.6
