1, memory_percent: 1.4819572187899905, cpu_percent: 0.0
2, memory_percent: 3.150447984926017, cpu_percent: 90.0
3, memory_percent: 3.8853253928765685, cpu_percent: 99.0
4, memory_percent: 3.9252876146517437, cpu_percent: 100.0
5, memory_percent: 4.3058808198304845, cpu_percent: 99.0
6, memory_percent: 4.602184178302236, cpu_percent: 99.1
7, memory_percent: 4.869639605528181, cpu_percent: 99.9
8, memory_percent: 5.0591395544257605, cpu_percent: 99.6
9, memory_percent: 5.621045958368562, cpu_percent: 98.4
10, memory_percent: 5.900755603357656, cpu_percent: 99.7
11, memory_percent: 6.109323425983941, cpu_percent: 99.6
12, memory_percent: 6.4008857234606475, cpu_percent: 99.4
13, memory_percent: 6.746309582733523, cpu_percent: 99.8
14, memory_percent: 6.975124067477993, cpu_percent: 100.0
15, memory_percent: 7.181593387696636, cpu_percent: 99.5
16, memory_percent: 7.6723191081209325, cpu_percent: 99.5
17, memory_percent: 7.957054795913517, cpu_percent: 99.8
18, memory_percent: 8.217579983706813, cpu_percent: 99.4
19, memory_percent: 8.5343372637938, cpu_percent: 74.0
20, memory_percent: 8.615479356889324, cpu_percent: 81.0
21, memory_percent: 8.625984822646107, cpu_percent: 32.7
22, memory_percent: 8.955747636173053, cpu_percent: 56.1
23, memory_percent: 8.955747636173053, cpu_percent: 13.2
24, memory_percent: 8.955954895670102, cpu_percent: 12.8
25, memory_percent: 8.955954895670102, cpu_percent: 12.9
26, memory_percent: 8.955954895670102, cpu_percent: 12.8
27, memory_percent: 8.955954895670102, cpu_percent: 12.8
28, memory_percent: 8.955954895670102, cpu_percent: 12.8
29, memory_percent: 8.955954895670102, cpu_percent: 12.6
30, memory_percent: 8.955954895670102, cpu_percent: 13.0
31, memory_percent: 8.955954895670102, cpu_percent: 12.6
32, memory_percent: 8.955954895670102, cpu_percent: 12.6
33, memory_percent: 8.955954895670102, cpu_percent: 12.7
34, memory_percent: 8.955954895670102, cpu_percent: 12.8
35, memory_percent: 8.955954895670102, cpu_percent: 13.0
36, memory_percent: 8.955954895670102, cpu_percent: 12.9
37, memory_percent: 8.955954895670102, cpu_percent: 12.7
38, memory_percent: 8.955954895670102, cpu_percent: 12.6
39, memory_percent: 8.955954895670102, cpu_percent: 12.6
40, memory_percent: 8.955954895670102, cpu_percent: 12.5
41, memory_percent: 8.955954895670102, cpu_percent: 12.6
42, memory_percent: 8.955954895670102, cpu_percent: 13.0
43, memory_percent: 8.955954895670102, cpu_percent: 13.0
44, memory_percent: 8.955954895670102, cpu_percent: 12.7
45, memory_percent: 8.955954895670102, cpu_percent: 13.3
46, memory_percent: 8.955954895670102, cpu_percent: 13.2
47, memory_percent: 8.955954895670102, cpu_percent: 13.0
48, memory_percent: 8.955954895670102, cpu_percent: 12.5
49, memory_percent: 8.955954895670102, cpu_percent: 12.7
50, memory_percent: 8.955954895670102, cpu_percent: 12.9
51, memory_percent: 8.955954895670102, cpu_percent: 12.5
52, memory_percent: 8.955954895670102, cpu_percent: 12.5
53, memory_percent: 8.955954895670102, cpu_percent: 12.7
54, memory_percent: 8.955954895670102, cpu_percent: 12.9
55, memory_percent: 8.955954895670102, cpu_percent: 12.6
56, memory_percent: 8.955954895670102, cpu_percent: 12.7
57, memory_percent: 8.955954895670102, cpu_percent: 12.7
58, memory_percent: 8.955954895670102, cpu_percent: 12.8
59, memory_percent: 8.956537813005559, cpu_percent: 12.6
