1, memory_percent: 8.625984822646107, cpu_percent: 0.0
2, memory_percent: 8.955747636173053, cpu_percent: 56.2
3, memory_percent: 8.955747636173053, cpu_percent: 13.1
4, memory_percent: 8.955954895670102, cpu_percent: 12.9
5, memory_percent: 8.955954895670102, cpu_percent: 12.9
6, memory_percent: 8.955954895670102, cpu_percent: 12.7
7, memory_percent: 8.955954895670102, cpu_percent: 13.0
8, memory_percent: 8.955954895670102, cpu_percent: 12.7
9, memory_percent: 8.955954895670102, cpu_percent: 12.6
10, memory_percent: 8.955954895670102, cpu_percent: 13.2
11, memory_percent: 8.955954895670102, cpu_percent: 12.6
12, memory_percent: 8.955954895670102, cpu_percent: 12.5
13, memory_percent: 8.955954895670102, cpu_percent: 12.8
14, memory_percent: 8.955954895670102, cpu_percent: 12.8
15, memory_percent: 8.955954895670102, cpu_percent: 12.9
16, memory_percent: 8.955954895670102, cpu_percent: 13.1
17, memory_percent: 8.955954895670102, cpu_percent: 12.6
18, memory_percent: 8.955954895670102, cpu_percent: 12.6
19, memory_percent: 8.955954895670102, cpu_percent: 12.7
20, memory_percent: 8.955954895670102, cpu_percent: 12.5
21, memory_percent: 8.955954895670102, cpu_percent: 12.6
22, memory_percent: 8.955954895670102, cpu_percent: 13.0
23, memory_percent: 8.955954895670102, cpu_percent: 12.8
24, memory_percent: 8.955954895670102, cpu_percent: 12.7
25, memory_percent: 8.955954895670102, cpu_percent: 13.3
26, memory_percent: 8.955954895670102, cpu_percent: 13.2
27, memory_percent: 8.955954895670102, cpu_percent: 13.0
28, memory_percent: 8.955954895670102, cpu_percent: 12.5
29, memory_percent: 8.955954895670102, cpu_percent: 12.8
30, memory_percent: 8.955954895670102, cpu_percent: 12.8
31, memory_percent: 8.955954895670102, cpu_percent: 12.5
32, memory_percent: 8.955954895670102, cpu_percent: 12.6
33, memory_percent: 8.955954895670102, cpu_percent: 12.7
34, memory_percent: 8.955954895670102, cpu_percent: 12.8
35, memory_percent: 8.955954895670102, cpu_percent: 12.7
36, memory_percent: 8.955954895670102, cpu_percent: 12.6
37, memory_percent: 8.955954895670102, cpu_percent: 12.8
38, memory_percent: 8.955954895670102, cpu_percent: 12.8
39, memory_percent: 8.956537813005559, cpu_percent: 12.6
40, memory_percent: 8.956537813005559, cpu_percent: 12.7
41, memory_percent: 8.956537813005559, cpu_percent: 12.6
42, memory_percent: 8.956537813005559, cpu_percent: 12.6
43, memory_percent: 8.956537813005559, cpu_percent: 12.6
44, memory_percent: 8.956537813005559, cpu_percent: 12.7
45, memory_percent: 8.956537813005559, cpu_percent: 12.7
46, memory_percent: 8.956537813005559, cpu_percent: 12.5
