1, memory_percent: 1.181469809221519, cpu_percent: 0.0
2, memory_percent: 1.2384402634734542, cpu_percent: 36.3
3, memory_percent: 1.302340957158037, cpu_percent: 27.9
4, memory_percent: 1.3031829488648072, cpu_percent: 13.7
5, memory_percent: 1.3040378942901434, cpu_percent: 12.6
6, memory_percent: 2.2327677005763498, cpu_percent: 40.9
7, memory_percent: 2.4306227979488044, cpu_percent: 99.9
8, memory_percent: 2.770904030951097, cpu_percent: 98.3
9, memory_percent: 3.049473748706409, cpu_percent: 99.4
10, memory_percent: 3.5202118813838355, cpu_percent: 98.7
11, memory_percent: 3.8148960250348742, cpu_percent: 99.9
12, memory_percent: 4.122935452527147, cpu_percent: 99.4
13, memory_percent: 4.416958956531336, cpu_percent: 99.0
14, memory_percent: 4.857903536507659, cpu_percent: 98.4
15, memory_percent: 5.240232539974204, cpu_percent: 99.0
16, memory_percent: 5.516457634669125, cpu_percent: 99.1
17, memory_percent: 5.848837099346342, cpu_percent: 98.6
18, memory_percent: 6.238083388526969, cpu_percent: 99.1
19, memory_percent: 6.5327804858965735, cpu_percent: 97.6
20, memory_percent: 6.8520896485410026, cpu_percent: 97.5
21, memory_percent: 7.269251201230707, cpu_percent: 98.1
22, memory_percent: 7.580010909621776, cpu_percent: 96.3
23, memory_percent: 7.6655702207482035, cpu_percent: 62.6
24, memory_percent: 7.812219268630459, cpu_percent: 53.5
25, memory_percent: 7.893154102228933, cpu_percent: 43.1
26, memory_percent: 7.893154102228933, cpu_percent: 12.7
27, memory_percent: 7.893154102228933, cpu_percent: 12.7
28, memory_percent: 7.893154102228933, cpu_percent: 12.8
29, memory_percent: 7.893154102228933, cpu_percent: 12.5
30, memory_percent: 7.893154102228933, cpu_percent: 12.7
31, memory_percent: 7.893154102228933, cpu_percent: 12.8
32, memory_percent: 7.893154102228933, cpu_percent: 12.6
33, memory_percent: 7.893296593133156, cpu_percent: 12.6
34, memory_percent: 7.893296593133156, cpu_percent: 12.9
35, memory_percent: 7.893296593133156, cpu_percent: 12.7
36, memory_percent: 7.893296593133156, cpu_percent: 12.7
37, memory_percent: 7.893296593133156, cpu_percent: 12.8
38, memory_percent: 7.893296593133156, cpu_percent: 12.7
39, memory_percent: 7.893296593133156, cpu_percent: 12.7
40, memory_percent: 7.893296593133156, cpu_percent: 13.0
41, memory_percent: 7.893296593133156, cpu_percent: 13.0
42, memory_percent: 7.893296593133156, cpu_percent: 12.8
43, memory_percent: 7.893296593133156, cpu_percent: 12.6
44, memory_percent: 7.893296593133156, cpu_percent: 12.8
45, memory_percent: 7.893296593133156, cpu_percent: 12.6
46, memory_percent: 7.893296593133156, cpu_percent: 12.8
47, memory_percent: 7.893296593133156, cpu_percent: 12.6
48, memory_percent: 7.893801788157218, cpu_percent: 13.1
49, memory_percent: 7.893801788157218, cpu_percent: 12.6
50, memory_percent: 7.893801788157218, cpu_percent: 12.7
51, memory_percent: 7.893801788157218, cpu_percent: 12.7
52, memory_percent: 7.893801788157218, cpu_percent: 12.6
53, memory_percent: 7.893801788157218, cpu_percent: 12.8
54, memory_percent: 7.893801788157218, cpu_percent: 12.7
55, memory_percent: 7.893801788157218, cpu_percent: 13.2
56, memory_percent: 7.893801788157218, cpu_percent: 12.6
57, memory_percent: 7.893801788157218, cpu_percent: 12.9
58, memory_percent: 7.719535412292898, cpu_percent: 12.6
59, memory_percent: 7.719535412292898, cpu_percent: 4.5
60, memory_percent: 7.719535412292898, cpu_percent: 0.1
61, memory_percent: 7.719535412292898, cpu_percent: 0.1
62, memory_percent: 7.719535412292898, cpu_percent: 0.1
63, memory_percent: 7.719535412292898, cpu_percent: 0.1
64, memory_percent: 7.719535412292898, cpu_percent: 0.1
65, memory_percent: 7.719535412292898, cpu_percent: 0.1
66, memory_percent: 7.719535412292898, cpu_percent: 0.1
67, memory_percent: 7.719535412292898, cpu_percent: 0.1
68, memory_percent: 7.719535412292898, cpu_percent: 0.1
69, memory_percent: 7.719535412292898, cpu_percent: 0.2
70, memory_percent: 7.719535412292898, cpu_percent: 0.0
71, memory_percent: 7.719535412292898, cpu_percent: 0.4
72, memory_percent: 7.719535412292898, cpu_percent: 0.0
73, memory_percent: 7.719535412292898, cpu_percent: 0.0
74, memory_percent: 7.719535412292898, cpu_percent: 0.5
75, memory_percent: 7.719535412292898, cpu_percent: 0.0
76, memory_percent: 7.719535412292898, cpu_percent: 0.0
77, memory_percent: 7.719535412292898, cpu_percent: 0.2
78, memory_percent: 7.719535412292898, cpu_percent: 0.0
79, memory_percent: 7.719535412292898, cpu_percent: 1.7
80, memory_percent: 7.719535412292898, cpu_percent: 0.2
81, memory_percent: 7.719535412292898, cpu_percent: 0.1
82, memory_percent: 7.719535412292898, cpu_percent: 0.0
83, memory_percent: 7.719535412292898, cpu_percent: 0.2
84, memory_percent: 7.719535412292898, cpu_percent: 0.0
85, memory_percent: 7.719535412292898, cpu_percent: 0.1
86, memory_percent: 7.719535412292898, cpu_percent: 0.2
87, memory_percent: 7.719535412292898, cpu_percent: 0.0
88, memory_percent: 7.719535412292898, cpu_percent: 0.1
89, memory_percent: 7.719535412292898, cpu_percent: 0.1
90, memory_percent: 7.719535412292898, cpu_percent: 0.1
91, memory_percent: 7.719535412292898, cpu_percent: 0.1
92, memory_percent: 7.719535412292898, cpu_percent: 0.1
93, memory_percent: 7.719535412292898, cpu_percent: 0.2
94, memory_percent: 7.719535412292898, cpu_percent: 0.2
95, memory_percent: 7.719535412292898, cpu_percent: 0.0
96, memory_percent: 7.719535412292898, cpu_percent: 0.0
97, memory_percent: 7.719535412292898, cpu_percent: 0.0
98, memory_percent: 7.719535412292898, cpu_percent: 0.1
99, memory_percent: 7.719535412292898, cpu_percent: 0.2
100, memory_percent: 7.719535412292898, cpu_percent: 0.1
101, memory_percent: 7.719535412292898, cpu_percent: 0.0
102, memory_percent: 7.719535412292898, cpu_percent: 0.1
103, memory_percent: 7.719535412292898, cpu_percent: 0.2
104, memory_percent: 7.719535412292898, cpu_percent: 0.1
105, memory_percent: 7.719535412292898, cpu_percent: 0.1
106, memory_percent: 7.719535412292898, cpu_percent: 0.2
107, memory_percent: 7.719535412292898, cpu_percent: 0.1
108, memory_percent: 7.719535412292898, cpu_percent: 0.0
109, memory_percent: 7.719535412292898, cpu_percent: 0.5
110, memory_percent: 7.719535412292898, cpu_percent: 0.1
111, memory_percent: 7.719535412292898, cpu_percent: 0.0
112, memory_percent: 7.719535412292898, cpu_percent: 0.2
113, memory_percent: 7.719535412292898, cpu_percent: 0.0
114, memory_percent: 7.719535412292898, cpu_percent: 0.2
115, memory_percent: 7.719535412292898, cpu_percent: 0.2
116, memory_percent: 7.719535412292898, cpu_percent: 0.4
117, memory_percent: 7.719535412292898, cpu_percent: 2.1
