1, memory_percent: 52.04192524678967, cpu_percent: 100.0
2, memory_percent: 59.130773707952756, cpu_percent: 87.5
3, memory_percent: 66.22761599140638, cpu_percent: 50.5
4, memory_percent: 66.22761599140638, cpu_percent: 51.0
5, memory_percent: 66.22761599140638, cpu_percent: 50.5
6, memory_percent: 66.22761599140638, cpu_percent: 51.0
7, memory_percent: 66.22761599140638, cpu_percent: 50.5
8, memory_percent: 66.44162054109295, cpu_percent: 51.0
9, memory_percent: 66.44162054109295, cpu_percent: 50.5
10, memory_percent: 66.49773403874025, cpu_percent: 50.8
11, memory_percent: 66.49773403874025, cpu_percent: 50.7
12, memory_percent: 66.55123517616191, cpu_percent: 50.8
13, memory_percent: 66.55123517616191, cpu_percent: 51.0
14, memory_percent: 66.60473631358354, cpu_percent: 50.5
15, memory_percent: 66.60473631358354, cpu_percent: 51.0
16, memory_percent: 66.60473631358354, cpu_percent: 50.5
17, memory_percent: 66.60473631358354, cpu_percent: 51.2
18, memory_percent: 66.60473631358354, cpu_percent: 50.5
19, memory_percent: 66.60797564026338, cpu_percent: 50.5
20, memory_percent: 66.66147677768501, cpu_percent: 51.2
21, memory_percent: 66.66147677768501, cpu_percent: 50.5
22, memory_percent: 66.71497791510666, cpu_percent: 50.8
23, memory_percent: 66.71497791510666, cpu_percent: 51.0
24, memory_percent: 66.71497791510666, cpu_percent: 50.8
25, memory_percent: 66.71497791510666, cpu_percent: 50.7
26, memory_percent: 66.71497791510666, cpu_percent: 51.0
27, memory_percent: 66.71497791510666, cpu_percent: 51.0
28, memory_percent: 66.76847905252829, cpu_percent: 50.7
29, memory_percent: 66.76847905252829, cpu_percent: 51.2
30, memory_percent: 66.76847905252829, cpu_percent: 50.5
31, memory_percent: 66.76847905252829, cpu_percent: 50.7
32, memory_percent: 66.7716138847991, cpu_percent: 50.8
33, memory_percent: 66.82511502222074, cpu_percent: 51.0
34, memory_percent: 66.82511502222074, cpu_percent: 50.3
35, memory_percent: 66.82511502222074, cpu_percent: 50.8
36, memory_percent: 66.82511502222074, cpu_percent: 50.8
37, memory_percent: 66.82511502222074, cpu_percent: 50.7
38, memory_percent: 66.82511502222074, cpu_percent: 51.0
39, memory_percent: 66.83190715880747, cpu_percent: 50.8
40, memory_percent: 66.83535547430535, cpu_percent: 50.7
41, memory_percent: 69.77342477290752, cpu_percent: 57.5
42, memory_percent: 71.15734872605641, cpu_percent: 100.0
43, memory_percent: 71.18791334069671, cpu_percent: 100.0
44, memory_percent: 71.18791334069671, cpu_percent: 100.0
45, memory_percent: 71.24141447811834, cpu_percent: 100.0
46, memory_percent: 71.24141447811834, cpu_percent: 100.0
47, memory_percent: 71.29491561553999, cpu_percent: 100.0
48, memory_percent: 71.29491561553999, cpu_percent: 100.0
49, memory_percent: 71.32166618425082, cpu_percent: 100.0
50, memory_percent: 71.34841675296163, cpu_percent: 100.0
51, memory_percent: 71.37516732167245, cpu_percent: 100.0
52, memory_percent: 71.40191789038327, cpu_percent: 100.0
53, memory_percent: 71.40191789038327, cpu_percent: 100.0
54, memory_percent: 71.45709093834934, cpu_percent: 100.0
55, memory_percent: 71.45709093834934, cpu_percent: 100.0
56, memory_percent: 71.51059207577099, cpu_percent: 100.0
57, memory_percent: 71.51059207577099, cpu_percent: 100.0
58, memory_percent: 71.53734264448181, cpu_percent: 100.0
59, memory_percent: 71.56409321319262, cpu_percent: 100.0
60, memory_percent: 71.56409321319262, cpu_percent: 100.0
61, memory_percent: 71.61759435061427, cpu_percent: 100.0
62, memory_percent: 71.61759435061427, cpu_percent: 100.0
63, memory_percent: 71.6710954880359, cpu_percent: 100.0
64, memory_percent: 71.6710954880359, cpu_percent: 100.0
65, memory_percent: 71.72459662545756, cpu_percent: 100.0
66, memory_percent: 71.72459662545756, cpu_percent: 100.0
67, memory_percent: 71.75134719416837, cpu_percent: 100.0
68, memory_percent: 71.7780977628792, cpu_percent: 100.0
69, memory_percent: 71.7780977628792, cpu_percent: 100.0
70, memory_percent: 71.83159890030085, cpu_percent: 100.0
71, memory_percent: 71.83159890030085, cpu_percent: 100.0
72, memory_percent: 71.84204834120351, cpu_percent: 100.0
73, memory_percent: 71.1882790711283, cpu_percent: 54.5
74, memory_percent: 71.1882790711283, cpu_percent: 50.3
75, memory_percent: 71.1882790711283, cpu_percent: 50.7
76, memory_percent: 71.1882790711283, cpu_percent: 50.5
77, memory_percent: 71.1882790711283, cpu_percent: 50.7
78, memory_percent: 71.1882790711283, cpu_percent: 50.3
79, memory_percent: 71.1882790711283, cpu_percent: 50.7
80, memory_percent: 71.1882790711283, cpu_percent: 50.5
81, memory_percent: 71.1882790711283, cpu_percent: 50.5
82, memory_percent: 71.1882790711283, cpu_percent: 50.3
83, memory_percent: 71.1882790711283, cpu_percent: 50.7
84, memory_percent: 71.1882790711283, cpu_percent: 50.5
85, memory_percent: 71.1882790711283, cpu_percent: 50.5
86, memory_percent: 71.1882790711283, cpu_percent: 50.8
87, memory_percent: 71.1882790711283, cpu_percent: 50.3
88, memory_percent: 71.1882790711283, cpu_percent: 50.7
89, memory_percent: 71.1882790711283, cpu_percent: 50.7
90, memory_percent: 71.1882790711283, cpu_percent: 50.5
91, memory_percent: 71.1882790711283, cpu_percent: 50.7
92, memory_percent: 71.1882790711283, cpu_percent: 51.0
93, memory_percent: 71.1882790711283, cpu_percent: 50.3
94, memory_percent: 71.1882790711283, cpu_percent: 50.7
95, memory_percent: 71.1882790711283, cpu_percent: 51.0
96, memory_percent: 71.1882790711283, cpu_percent: 50.5
97, memory_percent: 71.1882790711283, cpu_percent: 50.7
