1, memory_percent: 60.53026732804662, cpu_percent: 100.0
2, memory_percent: 63.82868559617718, cpu_percent: 86.6
3, memory_percent: 62.35750881149104, cpu_percent: 87.1
4, memory_percent: 62.17772618076069, cpu_percent: 96.0
5, memory_percent: 62.17772618076069, cpu_percent: 100.0
6, memory_percent: 62.17772618076069, cpu_percent: 100.0
7, memory_percent: 62.17772618076069, cpu_percent: 100.0
8, memory_percent: 62.17772618076069, cpu_percent: 100.0
9, memory_percent: 62.17772618076069, cpu_percent: 100.0
10, memory_percent: 62.21116439164922, cpu_percent: 100.0
11, memory_percent: 62.21116439164922, cpu_percent: 100.0
12, memory_percent: 62.21800877544047, cpu_percent: 100.0
13, memory_percent: 62.25850035893829, cpu_percent: 100.0
14, memory_percent: 62.35233633824422, cpu_percent: 100.0
15, memory_percent: 62.37908690695504, cpu_percent: 100.0
16, memory_percent: 62.37908690695504, cpu_percent: 100.0
17, memory_percent: 62.38582679633726, cpu_percent: 100.0
18, memory_percent: 62.49967345497179, cpu_percent: 100.0
19, memory_percent: 62.53332065467837, cpu_percent: 100.0
20, memory_percent: 62.5804998803539, cpu_percent: 100.0
21, memory_percent: 62.60725044906472, cpu_percent: 100.0
22, memory_percent: 62.61414708006048, cpu_percent: 100.0
23, memory_percent: 62.62104371105623, cpu_percent: 100.0
24, memory_percent: 62.62104371105623, cpu_percent: 100.0
25, memory_percent: 62.62104371105623, cpu_percent: 100.0
26, memory_percent: 63.042887640296804, cpu_percent: 100.0
27, memory_percent: 59.50846874937956, cpu_percent: 100.0
28, memory_percent: 64.49504644254009, cpu_percent: 100.0
29, memory_percent: 63.07528090709506, cpu_percent: 100.0
30, memory_percent: 63.07528090709506, cpu_percent: 100.0
31, memory_percent: 63.07528090709506, cpu_percent: 100.0
32, memory_percent: 63.07528090709506, cpu_percent: 100.0
33, memory_percent: 63.07528090709506, cpu_percent: 100.0
34, memory_percent: 63.07528090709506, cpu_percent: 100.0
35, memory_percent: 63.07528090709506, cpu_percent: 100.0
36, memory_percent: 63.07528090709506, cpu_percent: 100.0
37, memory_percent: 63.07528090709506, cpu_percent: 100.0
38, memory_percent: 63.07528090709506, cpu_percent: 100.0
39, memory_percent: 63.07528090709506, cpu_percent: 100.0
40, memory_percent: 63.07528090709506, cpu_percent: 100.0
41, memory_percent: 63.10203147580589, cpu_percent: 100.0
42, memory_percent: 63.10203147580589, cpu_percent: 100.0
43, memory_percent: 63.10203147580589, cpu_percent: 100.0
44, memory_percent: 63.128782044516704, cpu_percent: 100.0
45, memory_percent: 63.128782044516704, cpu_percent: 100.0
46, memory_percent: 63.128782044516704, cpu_percent: 100.0
47, memory_percent: 63.128782044516704, cpu_percent: 100.0
48, memory_percent: 63.128782044516704, cpu_percent: 100.0
49, memory_percent: 63.37565008584216, cpu_percent: 100.0
50, memory_percent: 63.402400654552984, cpu_percent: 100.0
51, memory_percent: 63.402400654552984, cpu_percent: 100.0
52, memory_percent: 63.801621544239275, cpu_percent: 100.0
53, memory_percent: 63.61875632844265, cpu_percent: 100.0
54, memory_percent: 63.61875632844265, cpu_percent: 100.0
55, memory_percent: 62.657877990238134, cpu_percent: 100.0
56, memory_percent: 63.62476475696168, cpu_percent: 98.0
57, memory_percent: 63.62476475696168, cpu_percent: 100.0
58, memory_percent: 63.62476475696168, cpu_percent: 100.0
59, memory_percent: 63.62476475696168, cpu_percent: 100.0
60, memory_percent: 63.62476475696168, cpu_percent: 100.0
61, memory_percent: 63.62476475696168, cpu_percent: 100.0
62, memory_percent: 63.62476475696168, cpu_percent: 100.0
63, memory_percent: 63.651515325672506, cpu_percent: 100.0
64, memory_percent: 63.651515325672506, cpu_percent: 100.0
65, memory_percent: 63.651515325672506, cpu_percent: 100.0
66, memory_percent: 63.651515325672506, cpu_percent: 100.0
67, memory_percent: 63.705068710298654, cpu_percent: 100.0
68, memory_percent: 63.89890583904309, cpu_percent: 100.0
69, memory_percent: 63.925656407753905, cpu_percent: 100.0
70, memory_percent: 63.925656407753905, cpu_percent: 100.0
71, memory_percent: 63.925656407753905, cpu_percent: 100.0
72, memory_percent: 63.95240697646473, cpu_percent: 100.0
73, memory_percent: 64.1680311894912, cpu_percent: 100.0
74, memory_percent: 63.97220866697527, cpu_percent: 100.0
75, memory_percent: 64.18966153215973, cpu_percent: 100.0
76, memory_percent: 64.18966153215973, cpu_percent: 100.0
77, memory_percent: 64.21641210087054, cpu_percent: 100.0
78, memory_percent: 64.42263181708464, cpu_percent: 100.0
79, memory_percent: 64.21301603257717, cpu_percent: 100.0
80, memory_percent: 64.21301603257717, cpu_percent: 100.0
81, memory_percent: 64.21301603257717, cpu_percent: 100.0
82, memory_percent: 64.21301603257717, cpu_percent: 100.0
83, memory_percent: 64.21301603257717, cpu_percent: 100.0
84, memory_percent: 64.239766601288, cpu_percent: 100.0
85, memory_percent: 64.239766601288, cpu_percent: 100.0
86, memory_percent: 64.239766601288, cpu_percent: 100.0
87, memory_percent: 64.26651716999882, cpu_percent: 100.0
88, memory_percent: 64.26651716999882, cpu_percent: 100.0
89, memory_percent: 64.26651716999882, cpu_percent: 100.0
90, memory_percent: 64.32001830742045, cpu_percent: 100.0
91, memory_percent: 64.32001830742045, cpu_percent: 100.0
92, memory_percent: 64.32001830742045, cpu_percent: 100.0
93, memory_percent: 64.34676887613128, cpu_percent: 100.0
94, memory_percent: 64.56678185433688, cpu_percent: 100.0
95, memory_percent: 64.5935324230477, cpu_percent: 100.0
96, memory_percent: 64.5935324230477, cpu_percent: 100.0
97, memory_percent: 64.5935324230477, cpu_percent: 100.0
98, memory_percent: 64.84024372275961, cpu_percent: 100.0
99, memory_percent: 63.86390021201915, cpu_percent: 100.0
100, memory_percent: 64.83078697874271, cpu_percent: 100.0
101, memory_percent: 64.85753754745353, cpu_percent: 100.0
102, memory_percent: 63.871162573446504, cpu_percent: 100.0
103, memory_percent: 64.83804934017006, cpu_percent: 100.0
104, memory_percent: 64.83804934017006, cpu_percent: 100.0
105, memory_percent: 64.83804934017006, cpu_percent: 100.0
106, memory_percent: 64.83804934017006, cpu_percent: 100.0
107, memory_percent: 64.83804934017006, cpu_percent: 100.0
108, memory_percent: 64.83804934017006, cpu_percent: 100.0
109, memory_percent: 64.83804934017006, cpu_percent: 100.0
110, memory_percent: 64.83804934017006, cpu_percent: 100.0
111, memory_percent: 64.83804934017006, cpu_percent: 100.0
112, memory_percent: 64.83867630662421, cpu_percent: 100.0
113, memory_percent: 64.83867630662421, cpu_percent: 100.0
114, memory_percent: 64.8405572059867, cpu_percent: 100.0
115, memory_percent: 64.8405572059867, cpu_percent: 100.0
116, memory_percent: 64.8405572059867, cpu_percent: 100.0
117, memory_percent: 64.8405572059867, cpu_percent: 100.0
118, memory_percent: 64.8405572059867, cpu_percent: 100.0
119, memory_percent: 64.8405572059867, cpu_percent: 100.0
120, memory_percent: 64.8405572059867, cpu_percent: 100.0
121, memory_percent: 65.05753984633053, cpu_percent: 100.0
122, memory_percent: 65.05753984633053, cpu_percent: 100.0
123, memory_percent: 65.27953821830764, cpu_percent: 100.0
124, memory_percent: 65.06992243380017, cpu_percent: 100.0
125, memory_percent: 65.27891125185347, cpu_percent: 100.0
126, memory_percent: 65.06929546734602, cpu_percent: 100.0
127, memory_percent: 65.06929546734602, cpu_percent: 100.0
128, memory_percent: 65.06929546734602, cpu_percent: 100.0
129, memory_percent: 65.06929546734602, cpu_percent: 100.0
130, memory_percent: 65.06929546734602, cpu_percent: 100.0
131, memory_percent: 65.06929546734602, cpu_percent: 100.0
132, memory_percent: 65.06929546734602, cpu_percent: 100.0
133, memory_percent: 65.06929546734602, cpu_percent: 100.0
134, memory_percent: 65.06929546734602, cpu_percent: 100.0
135, memory_percent: 65.07201232198071, cpu_percent: 100.0
136, memory_percent: 65.20148089476473, cpu_percent: 100.0
