1, memory_percent: 5.2833940620007125, cpu_percent: 0.0
2, memory_percent: 5.623627857791469, cpu_percent: 82.0
3, memory_percent: 5.623627857791469, cpu_percent: 50.2
4, memory_percent: 5.623627857791469, cpu_percent: 50.3
5, memory_percent: 5.66657505990142, cpu_percent: 50.2
6, memory_percent: 6.497514600481301, cpu_percent: 78.1
7, memory_percent: 6.497514600481301, cpu_percent: 88.0
8, memory_percent: 6.497514600481301, cpu_percent: 50.2
9, memory_percent: 6.497514600481301, cpu_percent: 50.5
10, memory_percent: 6.497514600481301, cpu_percent: 50.5
11, memory_percent: 6.497514600481301, cpu_percent: 50.0
12, memory_percent: 6.497514600481301, cpu_percent: 50.5
13, memory_percent: 6.497514600481301, cpu_percent: 50.3
14, memory_percent: 6.497514600481301, cpu_percent: 50.7
15, memory_percent: 6.497514600481301, cpu_percent: 50.2
16, memory_percent: 6.497514600481301, cpu_percent: 50.7
17, memory_percent: 6.497514600481301, cpu_percent: 50.5
18, memory_percent: 6.497514600481301, cpu_percent: 50.5
19, memory_percent: 6.497514600481301, cpu_percent: 50.7
20, memory_percent: 6.497514600481301, cpu_percent: 50.3
21, memory_percent: 6.497514600481301, cpu_percent: 50.2
22, memory_percent: 5.8965672541690655, cpu_percent: 46.7
23, memory_percent: 7.237752994026055, cpu_percent: 81.1
24, memory_percent: 7.237752994026055, cpu_percent: 64.7
25, memory_percent: 7.237752994026055, cpu_percent: 50.8
26, memory_percent: 7.237752994026055, cpu_percent: 51.0
27, memory_percent: 7.237752994026055, cpu_percent: 51.0
28, memory_percent: 7.237752994026055, cpu_percent: 50.5
29, memory_percent: 7.237752994026055, cpu_percent: 51.2
30, memory_percent: 7.237752994026055, cpu_percent: 50.7
31, memory_percent: 7.237752994026055, cpu_percent: 51.0
32, memory_percent: 7.237752994026055, cpu_percent: 50.8
33, memory_percent: 7.237752994026055, cpu_percent: 50.5
34, memory_percent: 7.237752994026055, cpu_percent: 51.0
35, memory_percent: 7.237752994026055, cpu_percent: 50.8
36, memory_percent: 7.237752994026055, cpu_percent: 50.8
37, memory_percent: 7.237752994026055, cpu_percent: 50.8
38, memory_percent: 7.237752994026055, cpu_percent: 50.5
39, memory_percent: 7.237752994026055, cpu_percent: 50.5
40, memory_percent: 7.237752994026055, cpu_percent: 51.2
41, memory_percent: 7.237752994026055, cpu_percent: 50.8
42, memory_percent: 7.237752994026055, cpu_percent: 51.0
43, memory_percent: 7.237752994026055, cpu_percent: 50.8
44, memory_percent: 7.237752994026055, cpu_percent: 50.5
45, memory_percent: 7.237752994026055, cpu_percent: 50.8
46, memory_percent: 7.237752994026055, cpu_percent: 52.8
47, memory_percent: 7.237752994026055, cpu_percent: 50.7
48, memory_percent: 7.237752994026055, cpu_percent: 50.8
49, memory_percent: 7.237752994026055, cpu_percent: 51.0
50, memory_percent: 7.237752994026055, cpu_percent: 50.8
51, memory_percent: 7.237752994026055, cpu_percent: 50.5
52, memory_percent: 7.237752994026055, cpu_percent: 50.7
53, memory_percent: 7.237752994026055, cpu_percent: 51.0
54, memory_percent: 7.237752994026055, cpu_percent: 50.8
55, memory_percent: 7.237752994026055, cpu_percent: 50.5
56, memory_percent: 7.237752994026055, cpu_percent: 51.2
57, memory_percent: 7.237752994026055, cpu_percent: 50.5
58, memory_percent: 7.237752994026055, cpu_percent: 50.8
59, memory_percent: 7.237752994026055, cpu_percent: 50.8
60, memory_percent: 7.237752994026055, cpu_percent: 51.2
61, memory_percent: 7.237752994026055, cpu_percent: 50.8
62, memory_percent: 7.237752994026055, cpu_percent: 50.5
63, memory_percent: 7.237752994026055, cpu_percent: 50.8
64, memory_percent: 7.237752994026055, cpu_percent: 51.2
65, memory_percent: 7.237752994026055, cpu_percent: 50.8
66, memory_percent: 7.237752994026055, cpu_percent: 51.0
67, memory_percent: 7.237752994026055, cpu_percent: 50.7
68, memory_percent: 7.237752994026055, cpu_percent: 50.8
69, memory_percent: 7.237752994026055, cpu_percent: 51.2
70, memory_percent: 7.237752994026055, cpu_percent: 50.7
71, memory_percent: 7.237752994026055, cpu_percent: 50.8
72, memory_percent: 7.237752994026055, cpu_percent: 50.8
73, memory_percent: 7.237752994026055, cpu_percent: 51.0
74, memory_percent: 7.237752994026055, cpu_percent: 50.5
75, memory_percent: 7.237752994026055, cpu_percent: 51.8
76, memory_percent: 7.237752994026055, cpu_percent: 51.5
77, memory_percent: 7.237752994026055, cpu_percent: 50.8
78, memory_percent: 7.237752994026055, cpu_percent: 51.0
79, memory_percent: 7.237752994026055, cpu_percent: 50.8
80, memory_percent: 7.237752994026055, cpu_percent: 51.0
81, memory_percent: 7.237752994026055, cpu_percent: 50.5
82, memory_percent: 7.237752994026055, cpu_percent: 50.5
83, memory_percent: 7.237752994026055, cpu_percent: 51.0
84, memory_percent: 7.237752994026055, cpu_percent: 51.0
85, memory_percent: 7.237752994026055, cpu_percent: 50.8
86, memory_percent: 7.237752994026055, cpu_percent: 51.2
87, memory_percent: 7.237752994026055, cpu_percent: 50.5
88, memory_percent: 7.237752994026055, cpu_percent: 51.0
89, memory_percent: 7.237752994026055, cpu_percent: 51.0
90, memory_percent: 7.237752994026055, cpu_percent: 51.0
91, memory_percent: 7.237752994026055, cpu_percent: 50.8
92, memory_percent: 7.237752994026055, cpu_percent: 50.5
93, memory_percent: 7.237752994026055, cpu_percent: 51.0
94, memory_percent: 7.237752994026055, cpu_percent: 50.8
95, memory_percent: 7.237752994026055, cpu_percent: 51.2
96, memory_percent: 7.237752994026055, cpu_percent: 50.8
97, memory_percent: 7.237752994026055, cpu_percent: 50.7
98, memory_percent: 7.237752994026055, cpu_percent: 51.0
99, memory_percent: 7.237752994026055, cpu_percent: 50.5
100, memory_percent: 7.237752994026055, cpu_percent: 51.0
101, memory_percent: 7.237752994026055, cpu_percent: 50.7
102, memory_percent: 7.237752994026055, cpu_percent: 51.2
103, memory_percent: 7.237752994026055, cpu_percent: 51.0
104, memory_percent: 7.237752994026055, cpu_percent: 50.8
105, memory_percent: 7.237752994026055, cpu_percent: 50.5
106, memory_percent: 7.237752994026055, cpu_percent: 50.8
