1, memory_percent: 5.714027463277976, cpu_percent: 100.0
2, memory_percent: 6.48321241563365, cpu_percent: 79.5
3, memory_percent: 6.48321241563365, cpu_percent: 50.5
4, memory_percent: 6.48321241563365, cpu_percent: 50.5
5, memory_percent: 6.48321241563365, cpu_percent: 51.0
6, memory_percent: 6.48321241563365, cpu_percent: 50.5
7, memory_percent: 6.48321241563365, cpu_percent: 50.5
8, memory_percent: 6.48321241563365, cpu_percent: 50.7
9, memory_percent: 6.48321241563365, cpu_percent: 50.5
10, memory_percent: 6.48321241563365, cpu_percent: 50.8
11, memory_percent: 6.48321241563365, cpu_percent: 50.3
12, memory_percent: 6.48321241563365, cpu_percent: 50.7
13, memory_percent: 6.48321241563365, cpu_percent: 50.3
14, memory_percent: 6.48321241563365, cpu_percent: 50.5
15, memory_percent: 6.48321241563365, cpu_percent: 50.7
16, memory_percent: 6.48321241563365, cpu_percent: 50.3
17, memory_percent: 6.48321241563365, cpu_percent: 50.8
18, memory_percent: 6.48321241563365, cpu_percent: 50.5
19, memory_percent: 6.48321241563365, cpu_percent: 50.7
20, memory_percent: 6.48321241563365, cpu_percent: 50.5
21, memory_percent: 6.48321241563365, cpu_percent: 50.5
22, memory_percent: 6.48321241563365, cpu_percent: 50.3
23, memory_percent: 6.48321241563365, cpu_percent: 50.7
24, memory_percent: 6.48321241563365, cpu_percent: 50.5
25, memory_percent: 6.48321241563365, cpu_percent: 50.7
26, memory_percent: 6.48321241563365, cpu_percent: 50.3
27, memory_percent: 6.48321241563365, cpu_percent: 50.5
28, memory_percent: 6.48321241563365, cpu_percent: 50.5
29, memory_percent: 6.48321241563365, cpu_percent: 50.5
30, memory_percent: 6.48321241563365, cpu_percent: 50.5
31, memory_percent: 6.48321241563365, cpu_percent: 50.8
32, memory_percent: 6.48321241563365, cpu_percent: 50.5
33, memory_percent: 6.48321241563365, cpu_percent: 50.3
34, memory_percent: 6.48321241563365, cpu_percent: 50.7
35, memory_percent: 6.48321241563365, cpu_percent: 50.5
36, memory_percent: 6.48321241563365, cpu_percent: 51.0
37, memory_percent: 6.48321241563365, cpu_percent: 50.8
38, memory_percent: 6.48321241563365, cpu_percent: 50.7
39, memory_percent: 6.48321241563365, cpu_percent: 50.5
40, memory_percent: 6.48321241563365, cpu_percent: 50.8
41, memory_percent: 6.48321241563365, cpu_percent: 50.7
42, memory_percent: 6.48321241563365, cpu_percent: 50.5
43, memory_percent: 6.48321241563365, cpu_percent: 50.5
44, memory_percent: 6.48321241563365, cpu_percent: 50.5
45, memory_percent: 6.48321241563365, cpu_percent: 50.8
46, memory_percent: 6.48321241563365, cpu_percent: 50.3
47, memory_percent: 6.483369157574763, cpu_percent: 51.0
48, memory_percent: 6.483369157574763, cpu_percent: 50.3
49, memory_percent: 6.483369157574763, cpu_percent: 50.7
50, memory_percent: 6.483369157574763, cpu_percent: 50.3
51, memory_percent: 6.483369157574763, cpu_percent: 50.3
52, memory_percent: 6.483369157574763, cpu_percent: 50.7
53, memory_percent: 6.483369157574763, cpu_percent: 50.8
54, memory_percent: 6.483369157574763, cpu_percent: 50.5
55, memory_percent: 6.483369157574763, cpu_percent: 50.7
56, memory_percent: 6.483369157574763, cpu_percent: 50.5
57, memory_percent: 6.483369157574763, cpu_percent: 50.8
58, memory_percent: 6.483369157574763, cpu_percent: 50.5
59, memory_percent: 6.483369157574763, cpu_percent: 50.7
60, memory_percent: 6.483369157574763, cpu_percent: 50.5
