1, memory_percent: 30.56853318063217, cpu_percent: 100.0
2, memory_percent: 31.820323953566863, cpu_percent: 80.4
3, memory_percent: 31.820323953566863, cpu_percent: 50.7
4, memory_percent: 31.820480695180404, cpu_percent: 50.8
5, memory_percent: 31.820480695180404, cpu_percent: 50.5
6, memory_percent: 31.820480695180404, cpu_percent: 50.3
7, memory_percent: 31.820480695180404, cpu_percent: 50.5
8, memory_percent: 31.820480695180404, cpu_percent: 50.5
9, memory_percent: 31.820480695180404, cpu_percent: 50.7
10, memory_percent: 31.820480695180404, cpu_percent: 50.3
11, memory_percent: 31.820480695180404, cpu_percent: 50.5
12, memory_percent: 31.820480695180404, cpu_percent: 50.5
13, memory_percent: 31.820480695180404, cpu_percent: 50.5
14, memory_percent: 31.820480695180404, cpu_percent: 50.3
15, memory_percent: 31.820480695180404, cpu_percent: 51.2
16, memory_percent: 31.820480695180404, cpu_percent: 50.3
17, memory_percent: 31.820480695180404, cpu_percent: 50.5
18, memory_percent: 31.820480695180404, cpu_percent: 50.7
19, memory_percent: 31.820480695180404, cpu_percent: 50.5
20, memory_percent: 31.820480695180404, cpu_percent: 50.5
21, memory_percent: 31.820480695180404, cpu_percent: 50.7
22, memory_percent: 31.820480695180404, cpu_percent: 50.8
23, memory_percent: 31.820480695180404, cpu_percent: 50.5
24, memory_percent: 31.820480695180404, cpu_percent: 50.3
25, memory_percent: 31.820480695180404, cpu_percent: 50.7
26, memory_percent: 31.820480695180404, cpu_percent: 50.7
27, memory_percent: 31.820480695180404, cpu_percent: 50.7
28, memory_percent: 31.820480695180404, cpu_percent: 50.5
29, memory_percent: 31.820480695180404, cpu_percent: 50.5
30, memory_percent: 31.820480695180404, cpu_percent: 50.3
31, memory_percent: 31.820480695180404, cpu_percent: 50.7
32, memory_percent: 31.820480695180404, cpu_percent: 50.5
33, memory_percent: 31.820480695180404, cpu_percent: 50.5
34, memory_percent: 31.820480695180404, cpu_percent: 50.7
35, memory_percent: 31.820480695180404, cpu_percent: 50.5
36, memory_percent: 31.820480695180404, cpu_percent: 50.7
37, memory_percent: 31.820480695180404, cpu_percent: 50.3
38, memory_percent: 31.820480695180404, cpu_percent: 50.7
39, memory_percent: 31.820480695180404, cpu_percent: 50.0
40, memory_percent: 31.820480695180404, cpu_percent: 51.0
41, memory_percent: 31.820480695180404, cpu_percent: 50.3
42, memory_percent: 31.820480695180404, cpu_percent: 50.5
43, memory_percent: 31.820480695180404, cpu_percent: 50.5
44, memory_percent: 31.820480695180404, cpu_percent: 51.0
45, memory_percent: 31.820480695180404, cpu_percent: 51.7
46, memory_percent: 31.820480695180404, cpu_percent: 50.5
47, memory_percent: 31.820480695180404, cpu_percent: 50.5
48, memory_percent: 31.820480695180404, cpu_percent: 50.7
49, memory_percent: 31.820480695180404, cpu_percent: 50.5
50, memory_percent: 31.820480695180404, cpu_percent: 50.5
51, memory_percent: 31.820480695180404, cpu_percent: 50.7
52, memory_percent: 31.820480695180404, cpu_percent: 50.7
53, memory_percent: 31.820480695180404, cpu_percent: 50.5
54, memory_percent: 31.820480695180404, cpu_percent: 50.7
55, memory_percent: 31.820480695180404, cpu_percent: 50.3
56, memory_percent: 31.820480695180404, cpu_percent: 50.5
57, memory_percent: 31.820480695180404, cpu_percent: 50.7
58, memory_percent: 31.820480695180404, cpu_percent: 50.5
59, memory_percent: 31.820480695180404, cpu_percent: 50.5
60, memory_percent: 31.820480695180404, cpu_percent: 50.7
61, memory_percent: 31.820480695180404, cpu_percent: 50.5
62, memory_percent: 31.820480695180404, cpu_percent: 50.5
63, memory_percent: 31.820480695180404, cpu_percent: 50.7
64, memory_percent: 31.820480695180404, cpu_percent: 50.5
65, memory_percent: 31.820480695180404, cpu_percent: 50.5
66, memory_percent: 31.820480695180404, cpu_percent: 51.0
67, memory_percent: 30.590633748141304, cpu_percent: 50.3
68, memory_percent: 30.590842736959363, cpu_percent: 50.5
69, memory_percent: 30.590894984163874, cpu_percent: 36.3
70, memory_percent: 30.590894984163874, cpu_percent: 0.5
71, memory_percent: 30.590894984163874, cpu_percent: 0.0
72, memory_percent: 30.590894984163874, cpu_percent: 0.5
73, memory_percent: 30.590894984163874, cpu_percent: 1.0
74, memory_percent: 30.590894984163874, cpu_percent: 0.5
75, memory_percent: 30.590894984163874, cpu_percent: 0.0
76, memory_percent: 30.590894984163874, cpu_percent: 0.0
77, memory_percent: 30.590894984163874, cpu_percent: 1.0
78, memory_percent: 30.590894984163874, cpu_percent: 0.5
79, memory_percent: 30.590894984163874, cpu_percent: 0.5
80, memory_percent: 30.590894984163874, cpu_percent: 0.5
81, memory_percent: 30.590894984163874, cpu_percent: 0.0
82, memory_percent: 30.590894984163874, cpu_percent: 0.0
83, memory_percent: 30.590894984163874, cpu_percent: 0.5
84, memory_percent: 30.590894984163874, cpu_percent: 0.5
85, memory_percent: 30.590894984163874, cpu_percent: 1.0
86, memory_percent: 30.590894984163874, cpu_percent: 0.0
87, memory_percent: 30.590894984163874, cpu_percent: 0.5
88, memory_percent: 30.590894984163874, cpu_percent: 0.5
89, memory_percent: 30.590894984163874, cpu_percent: 0.5
90, memory_percent: 30.590894984163874, cpu_percent: 0.5
91, memory_percent: 30.590894984163874, cpu_percent: 1.0
92, memory_percent: 30.590894984163874, cpu_percent: 0.0
