1, memory_percent: 29.758022297017, cpu_percent: 0.0
2, memory_percent: 30.0788201327288, cpu_percent: 88.1
3, memory_percent: 30.0788201327288, cpu_percent: 50.8
4, memory_percent: 30.0788201327288, cpu_percent: 50.7
5, memory_percent: 30.0788201327288, cpu_percent: 51.0
6, memory_percent: 30.0788201327288, cpu_percent: 50.5
7, memory_percent: 30.0788201327288, cpu_percent: 50.7
8, memory_percent: 30.0788201327288, cpu_percent: 50.8
9, memory_percent: 30.0788201327288, cpu_percent: 51.2
10, memory_percent: 30.0788201327288, cpu_percent: 50.8
11, memory_percent: 30.0788201327288, cpu_percent: 50.7
12, memory_percent: 30.0788201327288, cpu_percent: 50.8
13, memory_percent: 30.0788201327288, cpu_percent: 51.0
14, memory_percent: 30.0788201327288, cpu_percent: 51.0
15, memory_percent: 30.0788201327288, cpu_percent: 51.0
16, memory_percent: 30.0788201327288, cpu_percent: 50.8
17, memory_percent: 30.0788201327288, cpu_percent: 50.7
18, memory_percent: 30.0788201327288, cpu_percent: 51.0
19, memory_percent: 30.0788201327288, cpu_percent: 51.0
20, memory_percent: 30.0788201327288, cpu_percent: 50.5
21, memory_percent: 30.0788201327288, cpu_percent: 51.2
22, memory_percent: 30.0788201327288, cpu_percent: 51.2
23, memory_percent: 30.0788201327288, cpu_percent: 50.8
24, memory_percent: 30.0788201327288, cpu_percent: 51.0
25, memory_percent: 30.0788201327288, cpu_percent: 50.8
26, memory_percent: 30.0788201327288, cpu_percent: 51.0
27, memory_percent: 30.0788201327288, cpu_percent: 50.8
28, memory_percent: 30.0788201327288, cpu_percent: 50.5
29, memory_percent: 30.0788201327288, cpu_percent: 50.7
30, memory_percent: 30.0788201327288, cpu_percent: 51.0
31, memory_percent: 30.0788201327288, cpu_percent: 51.0
32, memory_percent: 30.0788201327288, cpu_percent: 50.5
33, memory_percent: 30.0788201327288, cpu_percent: 51.0
34, memory_percent: 30.0788201327288, cpu_percent: 50.5
35, memory_percent: 30.0788201327288, cpu_percent: 51.0
36, memory_percent: 30.0788201327288, cpu_percent: 51.0
37, memory_percent: 30.0788201327288, cpu_percent: 50.5
38, memory_percent: 29.24385755740139, cpu_percent: 51.0
39, memory_percent: 29.24385755740139, cpu_percent: 46.5
40, memory_percent: 29.24385755740139, cpu_percent: 1.0
41, memory_percent: 29.24385755740139, cpu_percent: 0.5
42, memory_percent: 29.24385755740139, cpu_percent: 0.0
43, memory_percent: 29.24385755740139, cpu_percent: 1.0
44, memory_percent: 29.24385755740139, cpu_percent: 0.5
45, memory_percent: 29.24385755740139, cpu_percent: 2.0
46, memory_percent: 29.24385755740139, cpu_percent: 8.0
47, memory_percent: 29.24385755740139, cpu_percent: 0.5
48, memory_percent: 29.24385755740139, cpu_percent: 0.5
49, memory_percent: 29.24385755740139, cpu_percent: 0.5
50, memory_percent: 29.24385755740139, cpu_percent: 1.0
51, memory_percent: 29.24385755740139, cpu_percent: 0.5
52, memory_percent: 29.24385755740139, cpu_percent: 0.5
53, memory_percent: 29.24385755740139, cpu_percent: 0.5
54, memory_percent: 29.24385755740139, cpu_percent: 0.5
55, memory_percent: 29.24385755740139, cpu_percent: 1.0
56, memory_percent: 29.24385755740139, cpu_percent: 1.0
57, memory_percent: 29.24385755740139, cpu_percent: 0.0
58, memory_percent: 29.24385755740139, cpu_percent: 0.5
59, memory_percent: 29.24385755740139, cpu_percent: 0.5
60, memory_percent: 29.24385755740139, cpu_percent: 1.0
61, memory_percent: 29.24385755740139, cpu_percent: 0.5
