1, memory_percent: 21.520660339120578, cpu_percent: 66.7
2, memory_percent: 25.208635829648756, cpu_percent: 18.3
3, memory_percent: 25.208635829648756, cpu_percent: 13.1
4, memory_percent: 25.208635829648756, cpu_percent: 12.5
5, memory_percent: 25.208635829648756, cpu_percent: 13.0
6, memory_percent: 25.208635829648756, cpu_percent: 12.8
7, memory_percent: 25.288715717821898, cpu_percent: 12.5
8, memory_percent: 25.288715717821898, cpu_percent: 12.6
9, memory_percent: 25.288715717821898, cpu_percent: 13.5
10, memory_percent: 25.301980325633167, cpu_percent: 12.7
11, memory_percent: 25.301980325633167, cpu_percent: 12.7
12, memory_percent: 25.301980325633167, cpu_percent: 13.2
13, memory_percent: 25.301980325633167, cpu_percent: 12.6
14, memory_percent: 25.328509541255716, cpu_percent: 12.6
15, memory_percent: 25.328509541255716, cpu_percent: 12.9
16, memory_percent: 25.328509541255716, cpu_percent: 12.6
17, memory_percent: 25.328509541255716, cpu_percent: 12.8
18, memory_percent: 25.328509541255716, cpu_percent: 12.7
19, memory_percent: 25.328509541255716, cpu_percent: 12.8
20, memory_percent: 25.341774149066985, cpu_percent: 12.8
21, memory_percent: 25.341774149066985, cpu_percent: 12.8
22, memory_percent: 25.341774149066985, cpu_percent: 13.2
23, memory_percent: 25.355038756878262, cpu_percent: 12.8
24, memory_percent: 25.355038756878262, cpu_percent: 12.8
25, memory_percent: 25.355038756878262, cpu_percent: 12.6
26, memory_percent: 25.355038756878262, cpu_percent: 12.8
27, memory_percent: 25.355038756878262, cpu_percent: 13.0
28, memory_percent: 25.35655434195045, cpu_percent: 12.7
29, memory_percent: 25.35826423280112, cpu_percent: 13.0
30, memory_percent: 25.360829069077127, cpu_percent: 12.8
31, memory_percent: 25.958073217267152, cpu_percent: 82.7
32, memory_percent: 25.965651142628083, cpu_percent: 100.0
33, memory_percent: 25.965651142628083, cpu_percent: 100.0
34, memory_percent: 25.965651142628083, cpu_percent: 100.0
35, memory_percent: 25.965651142628083, cpu_percent: 100.0
36, memory_percent: 25.972283446533723, cpu_percent: 100.0
37, memory_percent: 25.972283446533723, cpu_percent: 100.0
38, memory_percent: 25.972283446533723, cpu_percent: 100.0
39, memory_percent: 25.972283446533723, cpu_percent: 100.0
40, memory_percent: 25.972283446533723, cpu_percent: 100.0
41, memory_percent: 25.978915750439356, cpu_percent: 100.0
42, memory_percent: 25.978915750439356, cpu_percent: 100.0
43, memory_percent: 25.978915750439356, cpu_percent: 100.0
44, memory_percent: 25.978915750439356, cpu_percent: 100.0
45, memory_percent: 26.002284258731873, cpu_percent: 97.2
46, memory_percent: 26.374146657597336, cpu_percent: 11.5
47, memory_percent: 26.375558612920997, cpu_percent: 12.5
48, memory_percent: 26.376413558346336, cpu_percent: 12.8
49, memory_percent: 26.383900807677307, cpu_percent: 12.5
50, memory_percent: 26.383900807677307, cpu_percent: 12.7
51, memory_percent: 26.383900807677307, cpu_percent: 12.5
52, memory_percent: 26.383900807677307, cpu_percent: 12.5
53, memory_percent: 26.383900807677307, cpu_percent: 12.7
54, memory_percent: 26.383900807677307, cpu_percent: 12.6
55, memory_percent: 26.383900807677307, cpu_percent: 12.8
56, memory_percent: 26.390533111582943, cpu_percent: 12.5
57, memory_percent: 26.390533111582943, cpu_percent: 12.5
58, memory_percent: 26.390533111582943, cpu_percent: 12.7
59, memory_percent: 26.390533111582943, cpu_percent: 12.6
60, memory_percent: 26.390533111582943, cpu_percent: 12.6
61, memory_percent: 26.390533111582943, cpu_percent: 12.6
62, memory_percent: 26.397165415488583, cpu_percent: 12.6
63, memory_percent: 26.397165415488583, cpu_percent: 12.6
64, memory_percent: 26.397165415488583, cpu_percent: 12.6
65, memory_percent: 26.397165415488583, cpu_percent: 12.5
66, memory_percent: 26.397165415488583, cpu_percent: 12.8
67, memory_percent: 26.397165415488583, cpu_percent: 12.6
68, memory_percent: 26.403797719394216, cpu_percent: 12.6
69, memory_percent: 26.403797719394216, cpu_percent: 12.7
70, memory_percent: 26.403797719394216, cpu_percent: 12.6
71, memory_percent: 26.403797719394216, cpu_percent: 12.6
72, memory_percent: 26.403797719394216, cpu_percent: 12.7
73, memory_percent: 26.403797719394216, cpu_percent: 12.7
74, memory_percent: 26.403797719394216, cpu_percent: 12.6
75, memory_percent: 26.403797719394216, cpu_percent: 12.7
76, memory_percent: 26.403797719394216, cpu_percent: 12.7
