1, memory_percent: 21.503159865338322, cpu_percent: 0.0
2, memory_percent: 24.974704626070835, cpu_percent: 18.0
3, memory_percent: 25.307382026275064, cpu_percent: 79.5
4, memory_percent: 25.456025946816435, cpu_percent: 100.0
5, memory_percent: 23.706185828087833, cpu_percent: 47.9
6, memory_percent: 25.457878328571333, cpu_percent: 12.5
7, memory_percent: 25.457878328571333, cpu_percent: 12.8
8, memory_percent: 25.457878328571333, cpu_percent: 12.7
9, memory_percent: 25.457878328571333, cpu_percent: 12.7
10, memory_percent: 25.457878328571333, cpu_percent: 13.1
11, memory_percent: 25.457878328571333, cpu_percent: 12.7
12, memory_percent: 25.457878328571333, cpu_percent: 12.7
13, memory_percent: 25.457878328571333, cpu_percent: 12.7
14, memory_percent: 25.457878328571333, cpu_percent: 12.7
15, memory_percent: 25.457878328571333, cpu_percent: 12.6
16, memory_percent: 25.457878328571333, cpu_percent: 12.7
17, memory_percent: 25.45862964424814, cpu_percent: 12.8
18, memory_percent: 25.45862964424814, cpu_percent: 12.5
19, memory_percent: 25.45862964424814, cpu_percent: 12.6
20, memory_percent: 25.45862964424814, cpu_percent: 12.7
21, memory_percent: 25.45862964424814, cpu_percent: 12.7
22, memory_percent: 25.45862964424814, cpu_percent: 12.6
23, memory_percent: 25.45862964424814, cpu_percent: 12.6
24, memory_percent: 25.45862964424814, cpu_percent: 12.6
25, memory_percent: 25.45862964424814, cpu_percent: 12.7
26, memory_percent: 25.45862964424814, cpu_percent: 12.6
27, memory_percent: 25.45862964424814, cpu_percent: 12.6
28, memory_percent: 25.45862964424814, cpu_percent: 12.6
29, memory_percent: 25.45862964424814, cpu_percent: 12.8
30, memory_percent: 25.45862964424814, cpu_percent: 12.6
31, memory_percent: 25.45862964424814, cpu_percent: 12.8
32, memory_percent: 25.45862964424814, cpu_percent: 12.5
33, memory_percent: 25.45862964424814, cpu_percent: 12.8
34, memory_percent: 25.45862964424814, cpu_percent: 12.7
35, memory_percent: 25.45862964424814, cpu_percent: 12.6
36, memory_percent: 25.45862964424814, cpu_percent: 12.8
37, memory_percent: 25.45862964424814, cpu_percent: 12.5
38, memory_percent: 25.45862964424814, cpu_percent: 13.0
39, memory_percent: 25.45862964424814, cpu_percent: 12.6
40, memory_percent: 25.45862964424814, cpu_percent: 12.7
41, memory_percent: 25.45862964424814, cpu_percent: 12.6
42, memory_percent: 25.45862964424814, cpu_percent: 12.7
43, memory_percent: 25.45862964424814, cpu_percent: 12.7
44, memory_percent: 25.45862964424814, cpu_percent: 12.6
45, memory_percent: 25.45862964424814, cpu_percent: 12.6
46, memory_percent: 25.45862964424814, cpu_percent: 12.7
47, memory_percent: 25.45862964424814, cpu_percent: 12.6
48, memory_percent: 25.45862964424814, cpu_percent: 12.6
49, memory_percent: 25.45862964424814, cpu_percent: 12.8
50, memory_percent: 25.45862964424814, cpu_percent: 12.8
51, memory_percent: 25.45862964424814, cpu_percent: 12.8
52, memory_percent: 25.45862964424814, cpu_percent: 12.5
53, memory_percent: 25.45862964424814, cpu_percent: 12.6
54, memory_percent: 25.45862964424814, cpu_percent: 12.8
55, memory_percent: 25.45862964424814, cpu_percent: 12.7
