1, memory_percent: 1.576998651906509, cpu_percent: 100.0
2, memory_percent: 1.6305234170199685, cpu_percent: 54.8
3, memory_percent: 1.6305234170199685, cpu_percent: 12.6
4, memory_percent: 1.6305234170199685, cpu_percent: 12.7
5, memory_percent: 1.6305234170199685, cpu_percent: 12.9
6, memory_percent: 1.6305234170199685, cpu_percent: 12.8
7, memory_percent: 1.6305234170199685, cpu_percent: 12.5
8, memory_percent: 1.6305234170199685, cpu_percent: 12.9
9, memory_percent: 1.6305234170199685, cpu_percent: 12.7
10, memory_percent: 1.6305234170199685, cpu_percent: 12.6
11, memory_percent: 1.6305234170199685, cpu_percent: 12.6
12, memory_percent: 1.6305234170199685, cpu_percent: 12.7
13, memory_percent: 1.6305234170199685, cpu_percent: 12.7
14, memory_percent: 1.6305234170199685, cpu_percent: 12.8
15, memory_percent: 1.4819572187899905, cpu_percent: 17.1
16, memory_percent: 3.150447984926017, cpu_percent: 43.7
17, memory_percent: 3.4024755333402164, cpu_percent: 100.0
18, memory_percent: 3.8853253928765685, cpu_percent: 99.0
19, memory_percent: 4.3058808198304845, cpu_percent: 99.0
20, memory_percent: 4.336671808861146, cpu_percent: 100.0
21, memory_percent: 4.623739165995556, cpu_percent: 99.1
22, memory_percent: 4.940159649399835, cpu_percent: 99.5
23, memory_percent: 5.316516988607593, cpu_percent: 99.8
24, memory_percent: 5.654207477896747, cpu_percent: 98.6
25, memory_percent: 6.051213044498225, cpu_percent: 99.4
26, memory_percent: 6.349329923569175, cpu_percent: 99.6
27, memory_percent: 6.498077473859072, cpu_percent: 99.8
28, memory_percent: 6.7479028901171025, cpu_percent: 99.7
29, memory_percent: 7.130853672074801, cpu_percent: 99.5
30, memory_percent: 7.381831969285178, cpu_percent: 100.0
31, memory_percent: 7.674702592337021, cpu_percent: 99.4
32, memory_percent: 8.183576472471858, cpu_percent: 99.3
33, memory_percent: 8.459387048172678, cpu_percent: 100.0
34, memory_percent: 8.60544022500091, cpu_percent: 55.9
35, memory_percent: 8.625984822646107, cpu_percent: 80.6
36, memory_percent: 8.955747636173053, cpu_percent: 44.3
37, memory_percent: 8.955747636173053, cpu_percent: 26.8
38, memory_percent: 8.955747636173053, cpu_percent: 13.1
39, memory_percent: 8.955954895670102, cpu_percent: 13.2
40, memory_percent: 8.955954895670102, cpu_percent: 12.7
41, memory_percent: 8.955954895670102, cpu_percent: 13.0
42, memory_percent: 8.955954895670102, cpu_percent: 12.7
