1, memory_percent: 0.9843012589330463, cpu_percent: 0.0
2, memory_percent: 0.9826561366752027, cpu_percent: 18.5
3, memory_percent: 1.011970401789375, cpu_percent: 12.7
4, memory_percent: 1.1575313373121112, cpu_percent: 31.8
5, memory_percent: 1.1774282490290218, cpu_percent: 38.4
6, memory_percent: 1.1774282490290218, cpu_percent: 12.5
7, memory_percent: 1.1774282490290218, cpu_percent: 12.6
8, memory_percent: 1.1774282490290218, cpu_percent: 12.5
9, memory_percent: 1.1774282490290218, cpu_percent: 12.8
10, memory_percent: 1.1774282490290218, cpu_percent: 12.5
11, memory_percent: 1.1774282490290218, cpu_percent: 12.5
12, memory_percent: 1.181469809221519, cpu_percent: 24.2
13, memory_percent: 1.2470933474753396, cpu_percent: 49.9
14, memory_percent: 1.302340957158037, cpu_percent: 12.4
15, memory_percent: 1.3031829488648072, cpu_percent: 13.2
16, memory_percent: 1.3046337653441655, cpu_percent: 13.1
17, memory_percent: 2.2347496195169017, cpu_percent: 56.5
18, memory_percent: 2.587116671940989, cpu_percent: 99.3
19, memory_percent: 2.868860050744897, cpu_percent: 98.9
20, memory_percent: 3.1183227628830883, cpu_percent: 99.4
21, memory_percent: 3.5202118813838355, cpu_percent: 98.7
22, memory_percent: 3.8487959065213033, cpu_percent: 99.8
23, memory_percent: 4.196914139255843, cpu_percent: 99.1
24, memory_percent: 4.48820440864267, cpu_percent: 99.3
25, memory_percent: 4.885287697555542, cpu_percent: 98.5
26, memory_percent: 5.31050646319311, cpu_percent: 98.9
27, memory_percent: 5.61199130909114, cpu_percent: 99.1
28, memory_percent: 5.882827656862731, cpu_percent: 98.5
29, memory_percent: 6.263900149628403, cpu_percent: 98.3
30, memory_percent: 6.674792102532309, cpu_percent: 98.7
31, memory_percent: 6.9352266142956465, cpu_percent: 97.5
32, memory_percent: 7.29540475901485, cpu_percent: 98.1
33, memory_percent: 7.620659678480933, cpu_percent: 87.2
34, memory_percent: 7.6655702207482035, cpu_percent: 71.5
35, memory_percent: 7.892739583234832, cpu_percent: 53.7
36, memory_percent: 7.893154102228933, cpu_percent: 27.1
37, memory_percent: 7.893154102228933, cpu_percent: 12.8
38, memory_percent: 7.893154102228933, cpu_percent: 12.6
