1, memory_percent: 1.1033329788332353, cpu_percent: 50.0
2, memory_percent: 1.1774282490290218, cpu_percent: 55.3
3, memory_percent: 1.1774282490290218, cpu_percent: 12.6
4, memory_percent: 1.1774282490290218, cpu_percent: 12.5
5, memory_percent: 1.1774282490290218, cpu_percent: 12.5
6, memory_percent: 1.1774282490290218, cpu_percent: 12.7
7, memory_percent: 1.1774282490290218, cpu_percent: 12.7
8, memory_percent: 1.1774282490290218, cpu_percent: 12.5
9, memory_percent: 1.0664537420766962, cpu_percent: 19.1
10, memory_percent: 1.2379739296050891, cpu_percent: 32.5
11, memory_percent: 1.302340957158037, cpu_percent: 34.2
12, memory_percent: 1.3031829488648072, cpu_percent: 13.8
13, memory_percent: 1.3040378942901434, cpu_percent: 12.6
14, memory_percent: 2.231640727061134, cpu_percent: 34.3
15, memory_percent: 2.4057257508655354, cpu_percent: 99.9
16, memory_percent: 2.7251514969770554, cpu_percent: 98.3
17, memory_percent: 3.049473748706409, cpu_percent: 99.4
18, memory_percent: 3.5202118813838355, cpu_percent: 98.8
19, memory_percent: 3.7919938506107225, cpu_percent: 99.9
20, memory_percent: 4.062882013256576, cpu_percent: 99.4
21, memory_percent: 4.397748591898408, cpu_percent: 99.0
22, memory_percent: 4.841270961869305, cpu_percent: 98.4
23, memory_percent: 5.183339808033663, cpu_percent: 99.1
24, memory_percent: 5.48327020770381, cpu_percent: 99.1
25, memory_percent: 5.848837099346342, cpu_percent: 98.5
26, memory_percent: 6.231451084621333, cpu_percent: 99.1
27, memory_percent: 6.509632190819674, cpu_percent: 97.6
28, memory_percent: 6.82461481146316, cpu_percent: 97.9
29, memory_percent: 7.281660863616644, cpu_percent: 98.0
30, memory_percent: 7.553481693999228, cpu_percent: 98.4
31, memory_percent: 7.6655702207482035, cpu_percent: 60.3
32, memory_percent: 7.812180407474761, cpu_percent: 53.5
33, memory_percent: 7.893154102228933, cpu_percent: 49.3
34, memory_percent: 7.893154102228933, cpu_percent: 12.7
35, memory_percent: 7.893154102228933, cpu_percent: 12.6
36, memory_percent: 7.893154102228933, cpu_percent: 12.9
37, memory_percent: 7.893154102228933, cpu_percent: 12.5
38, memory_percent: 7.893154102228933, cpu_percent: 12.6
39, memory_percent: 7.893154102228933, cpu_percent: 12.8
40, memory_percent: 7.893154102228933, cpu_percent: 12.7
41, memory_percent: 7.893296593133156, cpu_percent: 12.5
42, memory_percent: 7.893296593133156, cpu_percent: 13.1
43, memory_percent: 7.893296593133156, cpu_percent: 12.7
44, memory_percent: 7.893296593133156, cpu_percent: 12.7
45, memory_percent: 7.893296593133156, cpu_percent: 12.8
46, memory_percent: 7.893296593133156, cpu_percent: 12.7
47, memory_percent: 7.893296593133156, cpu_percent: 12.7
48, memory_percent: 7.893296593133156, cpu_percent: 13.0
49, memory_percent: 7.893296593133156, cpu_percent: 13.0
50, memory_percent: 7.893296593133156, cpu_percent: 12.8
51, memory_percent: 7.893296593133156, cpu_percent: 12.6
52, memory_percent: 7.893296593133156, cpu_percent: 12.7
53, memory_percent: 7.893296593133156, cpu_percent: 12.7
54, memory_percent: 7.893296593133156, cpu_percent: 12.7
55, memory_percent: 7.893296593133156, cpu_percent: 12.6
56, memory_percent: 7.893801788157218, cpu_percent: 13.2
57, memory_percent: 7.893801788157218, cpu_percent: 12.6
58, memory_percent: 7.893801788157218, cpu_percent: 12.6
59, memory_percent: 7.893801788157218, cpu_percent: 12.8
60, memory_percent: 7.893801788157218, cpu_percent: 12.6
61, memory_percent: 7.893801788157218, cpu_percent: 12.7
62, memory_percent: 7.893801788157218, cpu_percent: 12.7
63, memory_percent: 7.893801788157218, cpu_percent: 13.2
64, memory_percent: 7.893801788157218, cpu_percent: 12.7
65, memory_percent: 7.893801788157218, cpu_percent: 12.8
66, memory_percent: 7.719535412292898, cpu_percent: 12.6
67, memory_percent: 7.719535412292898, cpu_percent: 5.5
68, memory_percent: 7.719535412292898, cpu_percent: 0.1
69, memory_percent: 7.719535412292898, cpu_percent: 0.1
70, memory_percent: 7.719535412292898, cpu_percent: 0.1
71, memory_percent: 7.719535412292898, cpu_percent: 0.1
72, memory_percent: 7.719535412292898, cpu_percent: 0.1
73, memory_percent: 7.719535412292898, cpu_percent: 0.1
74, memory_percent: 7.719535412292898, cpu_percent: 0.1
75, memory_percent: 7.719535412292898, cpu_percent: 0.1
76, memory_percent: 7.719535412292898, cpu_percent: 0.1
77, memory_percent: 7.719535412292898, cpu_percent: 0.2
78, memory_percent: 7.719535412292898, cpu_percent: 0.0
79, memory_percent: 7.719535412292898, cpu_percent: 0.4
80, memory_percent: 7.719535412292898, cpu_percent: 0.0
81, memory_percent: 7.719535412292898, cpu_percent: 0.0
82, memory_percent: 7.719535412292898, cpu_percent: 0.4
83, memory_percent: 7.719535412292898, cpu_percent: 0.1
84, memory_percent: 7.719535412292898, cpu_percent: 0.0
85, memory_percent: 7.719535412292898, cpu_percent: 0.2
86, memory_percent: 7.719535412292898, cpu_percent: 0.0
87, memory_percent: 7.719535412292898, cpu_percent: 1.7
88, memory_percent: 7.719535412292898, cpu_percent: 0.2
89, memory_percent: 7.719535412292898, cpu_percent: 0.1
90, memory_percent: 7.719535412292898, cpu_percent: 0.0
91, memory_percent: 7.719535412292898, cpu_percent: 0.2
92, memory_percent: 7.719535412292898, cpu_percent: 0.0
93, memory_percent: 7.719535412292898, cpu_percent: 0.1
94, memory_percent: 7.719535412292898, cpu_percent: 0.2
95, memory_percent: 7.719535412292898, cpu_percent: 0.0
96, memory_percent: 7.719535412292898, cpu_percent: 0.1
97, memory_percent: 7.719535412292898, cpu_percent: 0.1
98, memory_percent: 7.719535412292898, cpu_percent: 0.1
99, memory_percent: 7.719535412292898, cpu_percent: 0.1
100, memory_percent: 7.719535412292898, cpu_percent: 0.1
101, memory_percent: 7.719535412292898, cpu_percent: 0.2
102, memory_percent: 7.719535412292898, cpu_percent: 0.1
103, memory_percent: 7.719535412292898, cpu_percent: 0.1
104, memory_percent: 7.719535412292898, cpu_percent: 0.0
105, memory_percent: 7.719535412292898, cpu_percent: 0.0
106, memory_percent: 7.719535412292898, cpu_percent: 0.1
107, memory_percent: 7.719535412292898, cpu_percent: 0.1
108, memory_percent: 7.719535412292898, cpu_percent: 0.2
109, memory_percent: 7.719535412292898, cpu_percent: 0.0
110, memory_percent: 7.719535412292898, cpu_percent: 0.0
111, memory_percent: 7.719535412292898, cpu_percent: 0.4
112, memory_percent: 7.719535412292898, cpu_percent: 0.1
113, memory_percent: 7.719535412292898, cpu_percent: 0.1
114, memory_percent: 7.719535412292898, cpu_percent: 0.2
115, memory_percent: 7.719535412292898, cpu_percent: 0.0
116, memory_percent: 7.719535412292898, cpu_percent: 0.1
117, memory_percent: 7.719535412292898, cpu_percent: 0.4
118, memory_percent: 7.719535412292898, cpu_percent: 0.2
119, memory_percent: 7.719535412292898, cpu_percent: 0.0
120, memory_percent: 7.719535412292898, cpu_percent: 0.2
121, memory_percent: 7.719535412292898, cpu_percent: 0.0
122, memory_percent: 7.719535412292898, cpu_percent: 0.2
123, memory_percent: 7.719535412292898, cpu_percent: 0.2
124, memory_percent: 7.719535412292898, cpu_percent: 0.4
125, memory_percent: 7.719535412292898, cpu_percent: 2.0
