1, memory_percent: 1.3566688528225699, cpu_percent: 0.0
2, memory_percent: 2.2473665413998902, cpu_percent: 86.3
3, memory_percent: 2.711057851177577, cpu_percent: 98.1
4, memory_percent: 2.997425707509439, cpu_percent: 99.6
5, memory_percent: 3.40673730674833, cpu_percent: 98.8
6, memory_percent: 3.579436282666202, cpu_percent: 99.7
7, memory_percent: 3.9332930127253447, cpu_percent: 99.5
8, memory_percent: 4.333446332938288, cpu_percent: 99.0
9, memory_percent: 4.6940519503701585, cpu_percent: 98.8
10, memory_percent: 4.99099004105163, cpu_percent: 99.1
11, memory_percent: 5.40418775586023, cpu_percent: 98.5
12, memory_percent: 5.779469936427035, cpu_percent: 99.4
13, memory_percent: 6.044140314161355, cpu_percent: 98.5
14, memory_percent: 6.311233037267459, cpu_percent: 97.9
15, memory_percent: 6.8113502036518865, cpu_percent: 97.5
16, memory_percent: 7.092873369240178, cpu_percent: 99.5
17, memory_percent: 7.4173251581551884, cpu_percent: 97.8
18, memory_percent: 7.659391296992367, cpu_percent: 59.7
19, memory_percent: 7.671023736264362, cpu_percent: 81.2
20, memory_percent: 7.893154102228933, cpu_percent: 53.7
21, memory_percent: 7.893154102228933, cpu_percent: 12.9
22, memory_percent: 7.893154102228933, cpu_percent: 12.6
23, memory_percent: 7.893154102228933, cpu_percent: 12.7
24, memory_percent: 7.893154102228933, cpu_percent: 12.6
25, memory_percent: 7.893154102228933, cpu_percent: 12.7
26, memory_percent: 7.893154102228933, cpu_percent: 12.8
27, memory_percent: 7.893154102228933, cpu_percent: 12.6
28, memory_percent: 7.893154102228933, cpu_percent: 12.6
29, memory_percent: 7.893296593133156, cpu_percent: 13.1
30, memory_percent: 7.893296593133156, cpu_percent: 12.7
31, memory_percent: 7.893296593133156, cpu_percent: 12.6
32, memory_percent: 7.893296593133156, cpu_percent: 13.0
33, memory_percent: 7.893296593133156, cpu_percent: 12.6
34, memory_percent: 7.893296593133156, cpu_percent: 12.7
35, memory_percent: 7.893296593133156, cpu_percent: 13.0
36, memory_percent: 7.893296593133156, cpu_percent: 12.8
37, memory_percent: 7.893296593133156, cpu_percent: 12.9
38, memory_percent: 7.893296593133156, cpu_percent: 12.6
39, memory_percent: 7.893296593133156, cpu_percent: 12.7
40, memory_percent: 7.893296593133156, cpu_percent: 12.7
41, memory_percent: 7.893296593133156, cpu_percent: 12.7
42, memory_percent: 7.893296593133156, cpu_percent: 12.6
43, memory_percent: 7.893296593133156, cpu_percent: 13.2
44, memory_percent: 7.893801788157218, cpu_percent: 12.6
45, memory_percent: 7.893801788157218, cpu_percent: 12.6
46, memory_percent: 7.893801788157218, cpu_percent: 12.7
47, memory_percent: 7.893801788157218, cpu_percent: 12.7
48, memory_percent: 7.893801788157218, cpu_percent: 12.6
49, memory_percent: 7.893801788157218, cpu_percent: 13.0
50, memory_percent: 7.893801788157218, cpu_percent: 13.0
51, memory_percent: 7.893801788157218, cpu_percent: 12.7
52, memory_percent: 7.893801788157218, cpu_percent: 12.9
53, memory_percent: 7.719535412292898, cpu_percent: 12.4
54, memory_percent: 7.719535412292898, cpu_percent: 10.2
55, memory_percent: 7.719535412292898, cpu_percent: 0.1
56, memory_percent: 7.719535412292898, cpu_percent: 0.1
