1, memory_percent: 7.671023736264362, cpu_percent: 0.0
2, memory_percent: 7.893154102228933, cpu_percent: 51.0
3, memory_percent: 7.893154102228933, cpu_percent: 12.8
4, memory_percent: 7.893154102228933, cpu_percent: 12.6
5, memory_percent: 7.893154102228933, cpu_percent: 12.7
6, memory_percent: 7.893154102228933, cpu_percent: 12.6
7, memory_percent: 7.893154102228933, cpu_percent: 12.6
8, memory_percent: 7.893154102228933, cpu_percent: 13.0
9, memory_percent: 7.893154102228933, cpu_percent: 12.6
10, memory_percent: 7.893296593133156, cpu_percent: 12.5
11, memory_percent: 7.893296593133156, cpu_percent: 13.2
12, memory_percent: 7.893296593133156, cpu_percent: 12.6
13, memory_percent: 7.893296593133156, cpu_percent: 12.8
14, memory_percent: 7.893296593133156, cpu_percent: 12.8
15, memory_percent: 7.893296593133156, cpu_percent: 12.6
16, memory_percent: 7.893296593133156, cpu_percent: 12.7
17, memory_percent: 7.893296593133156, cpu_percent: 13.1
18, memory_percent: 7.893296593133156, cpu_percent: 12.8
19, memory_percent: 7.893296593133156, cpu_percent: 13.0
20, memory_percent: 7.893296593133156, cpu_percent: 12.6
21, memory_percent: 7.893296593133156, cpu_percent: 12.6
22, memory_percent: 7.893296593133156, cpu_percent: 12.8
23, memory_percent: 7.893296593133156, cpu_percent: 12.7
24, memory_percent: 7.893296593133156, cpu_percent: 12.6
25, memory_percent: 7.893801788157218, cpu_percent: 13.2
26, memory_percent: 7.893801788157218, cpu_percent: 12.5
27, memory_percent: 7.893801788157218, cpu_percent: 12.7
28, memory_percent: 7.893801788157218, cpu_percent: 12.7
29, memory_percent: 7.893801788157218, cpu_percent: 12.6
30, memory_percent: 7.893801788157218, cpu_percent: 12.7
31, memory_percent: 7.893801788157218, cpu_percent: 12.8
32, memory_percent: 7.893801788157218, cpu_percent: 13.2
33, memory_percent: 7.893801788157218, cpu_percent: 12.7
34, memory_percent: 7.893801788157218, cpu_percent: 12.8
35, memory_percent: 7.719535412292898, cpu_percent: 12.6
36, memory_percent: 7.719535412292898, cpu_percent: 6.6
37, memory_percent: 7.719535412292898, cpu_percent: 0.1
38, memory_percent: 7.719535412292898, cpu_percent: 0.1
39, memory_percent: 7.719535412292898, cpu_percent: 0.1
40, memory_percent: 7.719535412292898, cpu_percent: 0.0
41, memory_percent: 7.719535412292898, cpu_percent: 0.2
42, memory_percent: 7.719535412292898, cpu_percent: 0.1
43, memory_percent: 7.719535412292898, cpu_percent: 0.0
44, memory_percent: 7.719535412292898, cpu_percent: 0.2
45, memory_percent: 7.719535412292898, cpu_percent: 0.1
46, memory_percent: 7.719535412292898, cpu_percent: 0.2
47, memory_percent: 7.719535412292898, cpu_percent: 0.0
48, memory_percent: 7.719535412292898, cpu_percent: 0.2
49, memory_percent: 7.719535412292898, cpu_percent: 0.1
50, memory_percent: 7.719535412292898, cpu_percent: 0.0
51, memory_percent: 7.719535412292898, cpu_percent: 0.2
52, memory_percent: 7.719535412292898, cpu_percent: 0.2
53, memory_percent: 7.719535412292898, cpu_percent: 0.0
54, memory_percent: 7.719535412292898, cpu_percent: 0.1
55, memory_percent: 7.719535412292898, cpu_percent: 0.1
56, memory_percent: 7.719535412292898, cpu_percent: 1.6
57, memory_percent: 7.719535412292898, cpu_percent: 0.4
58, memory_percent: 7.719535412292898, cpu_percent: 0.1
59, memory_percent: 7.719535412292898, cpu_percent: 0.0
60, memory_percent: 7.719535412292898, cpu_percent: 0.2
61, memory_percent: 7.719535412292898, cpu_percent: 0.0
62, memory_percent: 7.719535412292898, cpu_percent: 0.0
63, memory_percent: 7.719535412292898, cpu_percent: 0.4
64, memory_percent: 7.719535412292898, cpu_percent: 0.0
65, memory_percent: 7.719535412292898, cpu_percent: 0.1
66, memory_percent: 7.719535412292898, cpu_percent: 0.1
67, memory_percent: 7.719535412292898, cpu_percent: 0.0
68, memory_percent: 7.719535412292898, cpu_percent: 0.2
69, memory_percent: 7.719535412292898, cpu_percent: 0.1
70, memory_percent: 7.719535412292898, cpu_percent: 0.1
71, memory_percent: 7.719535412292898, cpu_percent: 0.1
72, memory_percent: 7.719535412292898, cpu_percent: 0.2
73, memory_percent: 7.719535412292898, cpu_percent: 0.0
74, memory_percent: 7.719535412292898, cpu_percent: 0.0
75, memory_percent: 7.719535412292898, cpu_percent: 0.1
76, memory_percent: 7.719535412292898, cpu_percent: 0.0
77, memory_percent: 7.719535412292898, cpu_percent: 0.4
78, memory_percent: 7.719535412292898, cpu_percent: 0.0
79, memory_percent: 7.719535412292898, cpu_percent: 0.0
80, memory_percent: 7.719535412292898, cpu_percent: 0.4
81, memory_percent: 7.719535412292898, cpu_percent: 0.0
82, memory_percent: 7.719535412292898, cpu_percent: 0.2
83, memory_percent: 7.719535412292898, cpu_percent: 0.1
84, memory_percent: 7.719535412292898, cpu_percent: 0.1
85, memory_percent: 7.719535412292898, cpu_percent: 0.1
86, memory_percent: 7.719535412292898, cpu_percent: 0.4
87, memory_percent: 7.719535412292898, cpu_percent: 0.1
88, memory_percent: 7.719535412292898, cpu_percent: 0.1
89, memory_percent: 7.719535412292898, cpu_percent: 0.2
90, memory_percent: 7.719535412292898, cpu_percent: 0.0
91, memory_percent: 7.719535412292898, cpu_percent: 0.2
92, memory_percent: 7.719535412292898, cpu_percent: 0.1
93, memory_percent: 7.719535412292898, cpu_percent: 0.5
94, memory_percent: 7.719535412292898, cpu_percent: 2.0
