1, memory_percent: 67.75427930728566, cpu_percent: 0.0
2, memory_percent: 71.8471163200413, cpu_percent: 82.0
3, memory_percent: 76.69565689887763, cpu_percent: 51.5
4, memory_percent: 72.51598503222085, cpu_percent: 50.5
5, memory_percent: 72.51598503222085, cpu_percent: 50.8
6, memory_percent: 72.51598503222085, cpu_percent: 50.7
7, memory_percent: 72.51598503222085, cpu_percent: 50.8
8, memory_percent: 72.51598503222085, cpu_percent: 50.5
9, memory_percent: 72.51598503222085, cpu_percent: 50.7
10, memory_percent: 72.51598503222085, cpu_percent: 51.2
11, memory_percent: 72.51598503222085, cpu_percent: 50.5
12, memory_percent: 72.51598503222085, cpu_percent: 50.8
13, memory_percent: 72.51598503222085, cpu_percent: 50.5
14, memory_percent: 72.51598503222085, cpu_percent: 51.0
15, memory_percent: 72.51598503222085, cpu_percent: 50.5
16, memory_percent: 72.51598503222085, cpu_percent: 50.7
17, memory_percent: 72.51598503222085, cpu_percent: 50.7
18, memory_percent: 72.51598503222085, cpu_percent: 51.0
19, memory_percent: 72.51598503222085, cpu_percent: 50.5
20, memory_percent: 72.51608952662988, cpu_percent: 50.7
21, memory_percent: 72.51608952662988, cpu_percent: 51.2
22, memory_percent: 72.51608952662988, cpu_percent: 50.5
23, memory_percent: 72.51608952662988, cpu_percent: 50.5
24, memory_percent: 72.51608952662988, cpu_percent: 50.7
25, memory_percent: 72.51608952662988, cpu_percent: 50.7
26, memory_percent: 72.51608952662988, cpu_percent: 50.8
27, memory_percent: 72.51608952662988, cpu_percent: 50.5
28, memory_percent: 72.51608952662988, cpu_percent: 50.7
29, memory_percent: 72.51608952662988, cpu_percent: 51.0
30, memory_percent: 72.51608952662988, cpu_percent: 50.5
31, memory_percent: 72.51608952662988, cpu_percent: 50.5
32, memory_percent: 72.51608952662988, cpu_percent: 51.0
33, memory_percent: 72.51608952662988, cpu_percent: 50.8
34, memory_percent: 72.51608952662988, cpu_percent: 51.2
35, memory_percent: 72.51608952662988, cpu_percent: 51.0
36, memory_percent: 72.51608952662988, cpu_percent: 50.5
37, memory_percent: 72.51608952662988, cpu_percent: 50.7
38, memory_percent: 72.51608952662988, cpu_percent: 51.0
39, memory_percent: 72.51608952662988, cpu_percent: 51.0
40, memory_percent: 72.51608952662988, cpu_percent: 50.8
41, memory_percent: 72.51608952662988, cpu_percent: 50.5
42, memory_percent: 72.51608952662988, cpu_percent: 50.8
43, memory_percent: 72.51608952662988, cpu_percent: 51.0
44, memory_percent: 72.51608952662988, cpu_percent: 50.8
45, memory_percent: 72.51608952662988, cpu_percent: 50.7
46, memory_percent: 72.51608952662988, cpu_percent: 50.7
47, memory_percent: 72.51608952662988, cpu_percent: 50.8
48, memory_percent: 72.51608952662988, cpu_percent: 50.7
49, memory_percent: 72.51608952662988, cpu_percent: 51.0
50, memory_percent: 72.51608952662988, cpu_percent: 50.7
51, memory_percent: 72.51608952662988, cpu_percent: 50.7
52, memory_percent: 72.51608952662988, cpu_percent: 50.8
53, memory_percent: 72.51608952662988, cpu_percent: 50.7
54, memory_percent: 72.51608952662988, cpu_percent: 51.0
55, memory_percent: 72.51608952662988, cpu_percent: 50.5
56, memory_percent: 72.51608952662988, cpu_percent: 50.7
57, memory_percent: 72.51608952662988, cpu_percent: 50.5
58, memory_percent: 72.51608952662988, cpu_percent: 50.7
59, memory_percent: 72.51608952662988, cpu_percent: 51.0
60, memory_percent: 72.51608952662988, cpu_percent: 50.5
61, memory_percent: 72.51608952662988, cpu_percent: 50.7
62, memory_percent: 72.51608952662988, cpu_percent: 50.5
63, memory_percent: 72.51608952662988, cpu_percent: 50.7
64, memory_percent: 72.51608952662988, cpu_percent: 50.7
65, memory_percent: 72.51608952662988, cpu_percent: 50.8
66, memory_percent: 72.51608952662988, cpu_percent: 50.5
67, memory_percent: 72.51608952662988, cpu_percent: 50.5
68, memory_percent: 72.51608952662988, cpu_percent: 51.0
69, memory_percent: 72.51608952662988, cpu_percent: 50.7
70, memory_percent: 72.51608952662988, cpu_percent: 51.2
71, memory_percent: 72.51608952662988, cpu_percent: 51.0
72, memory_percent: 72.51608952662988, cpu_percent: 50.3
73, memory_percent: 72.51608952662988, cpu_percent: 50.8
74, memory_percent: 72.51608952662988, cpu_percent: 50.7
75, memory_percent: 72.51608952662988, cpu_percent: 50.8
76, memory_percent: 72.51608952662988, cpu_percent: 51.2
77, memory_percent: 72.51608952662988, cpu_percent: 50.3
78, memory_percent: 72.51608952662988, cpu_percent: 50.8
79, memory_percent: 72.51608952662988, cpu_percent: 50.7
80, memory_percent: 72.51608952662988, cpu_percent: 51.0
81, memory_percent: 72.51608952662988, cpu_percent: 50.7
82, memory_percent: 72.51608952662988, cpu_percent: 50.5
83, memory_percent: 72.51608952662988, cpu_percent: 51.0
84, memory_percent: 72.51608952662988, cpu_percent: 50.5
85, memory_percent: 72.51608952662988, cpu_percent: 50.8
86, memory_percent: 72.51608952662988, cpu_percent: 51.0
87, memory_percent: 72.51608952662988, cpu_percent: 50.5
88, memory_percent: 72.51608952662988, cpu_percent: 51.2
89, memory_percent: 72.51608952662988, cpu_percent: 50.7
90, memory_percent: 72.51608952662988, cpu_percent: 51.0
91, memory_percent: 72.51608952662988, cpu_percent: 50.3
92, memory_percent: 72.51608952662988, cpu_percent: 50.5
93, memory_percent: 72.51608952662988, cpu_percent: 51.2
94, memory_percent: 72.51608952662988, cpu_percent: 50.7
95, memory_percent: 72.51608952662988, cpu_percent: 51.0
96, memory_percent: 72.51608952662988, cpu_percent: 50.3
97, memory_percent: 72.51608952662988, cpu_percent: 51.2
98, memory_percent: 72.51608952662988, cpu_percent: 50.5
99, memory_percent: 72.51608952662988, cpu_percent: 52.7
100, memory_percent: 72.51608952662988, cpu_percent: 51.2
101, memory_percent: 72.51608952662988, cpu_percent: 50.5
102, memory_percent: 72.51608952662988, cpu_percent: 51.0
103, memory_percent: 72.51608952662988, cpu_percent: 50.5
104, memory_percent: 72.51608952662988, cpu_percent: 51.7
105, memory_percent: 72.51608952662988, cpu_percent: 51.0
106, memory_percent: 72.51608952662988, cpu_percent: 51.0
107, memory_percent: 72.51608952662988, cpu_percent: 50.8
108, memory_percent: 72.51608952662988, cpu_percent: 50.7
109, memory_percent: 72.51608952662988, cpu_percent: 50.5
110, memory_percent: 72.51608952662988, cpu_percent: 51.2
111, memory_percent: 72.51608952662988, cpu_percent: 51.5
112, memory_percent: 72.72612328877344, cpu_percent: 51.3
113, memory_percent: 72.72612328877344, cpu_percent: 50.8
114, memory_percent: 72.72612328877344, cpu_percent: 51.0
115, memory_percent: 72.72612328877344, cpu_percent: 51.0
116, memory_percent: 72.72612328877344, cpu_percent: 50.5
117, memory_percent: 72.72612328877344, cpu_percent: 50.7
118, memory_percent: 72.72612328877344, cpu_percent: 50.7
119, memory_percent: 72.72612328877344, cpu_percent: 50.8
120, memory_percent: 72.75595644255054, cpu_percent: 50.5
121, memory_percent: 72.75595644255054, cpu_percent: 50.5
122, memory_percent: 68.32445305013955, cpu_percent: 50.5
123, memory_percent: 67.7355748080699, cpu_percent: 51.5
124, memory_percent: 67.7355748080699, cpu_percent: 51.0
125, memory_percent: 67.7355748080699, cpu_percent: 51.0
126, memory_percent: 67.7355748080699, cpu_percent: 51.0
127, memory_percent: 67.7355748080699, cpu_percent: 51.0
128, memory_percent: 67.7355748080699, cpu_percent: 50.5
129, memory_percent: 67.7355748080699, cpu_percent: 10.0
130, memory_percent: 67.7355748080699, cpu_percent: 1.5
131, memory_percent: 67.7355748080699, cpu_percent: 0.0
132, memory_percent: 67.7355748080699, cpu_percent: 1.0
133, memory_percent: 67.7355748080699, cpu_percent: 0.5
134, memory_percent: 67.7355748080699, cpu_percent: 0.5
135, memory_percent: 67.7355748080699, cpu_percent: 1.0
136, memory_percent: 67.7355748080699, cpu_percent: 0.5
137, memory_percent: 67.7355748080699, cpu_percent: 0.5
138, memory_percent: 67.7355748080699, cpu_percent: 1.0
139, memory_percent: 67.7355748080699, cpu_percent: 0.0
140, memory_percent: 67.7355748080699, cpu_percent: 1.5
141, memory_percent: 67.7355748080699, cpu_percent: 1.0
142, memory_percent: 67.7355748080699, cpu_percent: 0.5
143, memory_percent: 67.7355748080699, cpu_percent: 0.0
144, memory_percent: 67.7355748080699, cpu_percent: 1.0
145, memory_percent: 67.7355748080699, cpu_percent: 0.5
146, memory_percent: 67.7355748080699, cpu_percent: 0.5
147, memory_percent: 67.7355748080699, cpu_percent: 0.5
148, memory_percent: 67.7355748080699, cpu_percent: 0.0
149, memory_percent: 67.7355748080699, cpu_percent: 1.0
150, memory_percent: 67.7355748080699, cpu_percent: 1.0
151, memory_percent: 67.7355748080699, cpu_percent: 0.5
152, memory_percent: 67.7355748080699, cpu_percent: 1.0
153, memory_percent: 67.7355748080699, cpu_percent: 0.5
154, memory_percent: 67.7355748080699, cpu_percent: 1.0
155, memory_percent: 67.7355748080699, cpu_percent: 0.0
156, memory_percent: 67.7355748080699, cpu_percent: 1.0
157, memory_percent: 67.7355748080699, cpu_percent: 1.0
158, memory_percent: 67.7355748080699, cpu_percent: 0.0
159, memory_percent: 67.7355748080699, cpu_percent: 0.0
160, memory_percent: 67.7355748080699, cpu_percent: 1.5
161, memory_percent: 67.7355748080699, cpu_percent: 0.5
162, memory_percent: 67.7355748080699, cpu_percent: 0.5
163, memory_percent: 67.7355748080699, cpu_percent: 1.0
164, memory_percent: 67.7355748080699, cpu_percent: 0.5
165, memory_percent: 67.7355748080699, cpu_percent: 0.5
166, memory_percent: 67.7355748080699, cpu_percent: 0.5
167, memory_percent: 67.7355748080699, cpu_percent: 1.0
168, memory_percent: 67.7355748080699, cpu_percent: 0.5
169, memory_percent: 67.7355748080699, cpu_percent: 1.0
170, memory_percent: 67.7355748080699, cpu_percent: 1.0
171, memory_percent: 67.7355748080699, cpu_percent: 0.0
172, memory_percent: 67.7355748080699, cpu_percent: 0.5
173, memory_percent: 67.7355748080699, cpu_percent: 1.0
174, memory_percent: 67.7355748080699, cpu_percent: 0.5
175, memory_percent: 67.7355748080699, cpu_percent: 0.5
176, memory_percent: 67.7355748080699, cpu_percent: 0.5
