1, memory_percent: 50.56730014660565, cpu_percent: 100.0
2, memory_percent: 57.93347676932545, cpu_percent: 82.0
3, memory_percent: 62.35562791212856, cpu_percent: 59.2
4, memory_percent: 70.01668775712156, cpu_percent: 97.0
5, memory_percent: 59.72022666927206, cpu_percent: 62.5
6, memory_percent: 66.78671332690345, cpu_percent: 50.3
7, memory_percent: 66.78671332690345, cpu_percent: 51.0
8, memory_percent: 66.78671332690345, cpu_percent: 50.0
9, memory_percent: 66.78671332690345, cpu_percent: 50.7
10, memory_percent: 66.78671332690345, cpu_percent: 50.5
11, memory_percent: 66.78671332690345, cpu_percent: 50.3
12, memory_percent: 66.78671332690345, cpu_percent: 50.7
13, memory_percent: 66.78671332690345, cpu_percent: 50.5
14, memory_percent: 66.78671332690345, cpu_percent: 50.2
15, memory_percent: 66.78671332690345, cpu_percent: 50.5
16, memory_percent: 66.7880717542208, cpu_percent: 50.5
17, memory_percent: 66.7880717542208, cpu_percent: 50.7
18, memory_percent: 66.7880717542208, cpu_percent: 50.5
19, memory_percent: 66.7880717542208, cpu_percent: 50.2
20, memory_percent: 66.7880717542208, cpu_percent: 50.5
21, memory_percent: 66.7880717542208, cpu_percent: 50.5
22, memory_percent: 66.7880717542208, cpu_percent: 51.0
23, memory_percent: 66.7880717542208, cpu_percent: 50.3
24, memory_percent: 66.7880717542208, cpu_percent: 50.3
25, memory_percent: 66.7880717542208, cpu_percent: 50.5
26, memory_percent: 66.7880717542208, cpu_percent: 50.3
27, memory_percent: 66.7880717542208, cpu_percent: 50.7
28, memory_percent: 66.7880717542208, cpu_percent: 50.7
29, memory_percent: 66.7880717542208, cpu_percent: 50.5
30, memory_percent: 66.7880717542208, cpu_percent: 50.2
31, memory_percent: 66.7880717542208, cpu_percent: 50.3
32, memory_percent: 66.7880717542208, cpu_percent: 50.3
33, memory_percent: 66.7880717542208, cpu_percent: 50.7
34, memory_percent: 66.7880717542208, cpu_percent: 50.3
35, memory_percent: 66.7880717542208, cpu_percent: 50.5
36, memory_percent: 66.7880717542208, cpu_percent: 50.7
37, memory_percent: 66.7880717542208, cpu_percent: 50.3
38, memory_percent: 66.7880717542208, cpu_percent: 50.2
39, memory_percent: 66.7880717542208, cpu_percent: 50.5
40, memory_percent: 66.7880717542208, cpu_percent: 50.7
41, memory_percent: 66.7880717542208, cpu_percent: 50.3
42, memory_percent: 66.7880717542208, cpu_percent: 50.2
43, memory_percent: 66.7880717542208, cpu_percent: 50.5
44, memory_percent: 66.7880717542208, cpu_percent: 50.7
45, memory_percent: 66.7880717542208, cpu_percent: 50.3
46, memory_percent: 66.7880717542208, cpu_percent: 50.0
47, memory_percent: 66.78822849583433, cpu_percent: 50.7
48, memory_percent: 66.78822849583433, cpu_percent: 50.3
49, memory_percent: 66.78822849583433, cpu_percent: 50.7
50, memory_percent: 66.78822849583433, cpu_percent: 50.5
51, memory_percent: 66.78822849583433, cpu_percent: 50.7
52, memory_percent: 66.78822849583433, cpu_percent: 50.5
53, memory_percent: 66.78822849583433, cpu_percent: 50.5
54, memory_percent: 66.78822849583433, cpu_percent: 50.5
55, memory_percent: 66.78822849583433, cpu_percent: 50.3
56, memory_percent: 66.78822849583433, cpu_percent: 50.3
57, memory_percent: 66.78822849583433, cpu_percent: 50.5
58, memory_percent: 66.78822849583433, cpu_percent: 50.5
59, memory_percent: 66.78822849583433, cpu_percent: 50.5
60, memory_percent: 66.78822849583433, cpu_percent: 50.7
61, memory_percent: 66.78822849583433, cpu_percent: 50.5
62, memory_percent: 66.78822849583433, cpu_percent: 50.3
63, memory_percent: 66.78822849583433, cpu_percent: 50.3
64, memory_percent: 66.78822849583433, cpu_percent: 50.7
65, memory_percent: 66.78822849583433, cpu_percent: 50.2
66, memory_percent: 66.78822849583433, cpu_percent: 50.7
67, memory_percent: 66.78822849583433, cpu_percent: 50.7
