1, memory_percent: 6.282099376272872, cpu_percent: 100.0
2, memory_percent: 6.497514600481301, cpu_percent: 99.5
3, memory_percent: 6.497514600481301, cpu_percent: 55.0
4, memory_percent: 6.497514600481301, cpu_percent: 50.5
5, memory_percent: 6.497514600481301, cpu_percent: 50.3
6, memory_percent: 6.497514600481301, cpu_percent: 50.3
7, memory_percent: 6.497514600481301, cpu_percent: 50.2
8, memory_percent: 6.497514600481301, cpu_percent: 50.5
9, memory_percent: 6.497514600481301, cpu_percent: 50.3
10, memory_percent: 6.497514600481301, cpu_percent: 50.7
11, memory_percent: 6.497514600481301, cpu_percent: 50.2
12, memory_percent: 6.497514600481301, cpu_percent: 50.7
13, memory_percent: 6.497514600481301, cpu_percent: 50.5
14, memory_percent: 6.497514600481301, cpu_percent: 50.7
15, memory_percent: 6.497514600481301, cpu_percent: 50.3
16, memory_percent: 6.497514600481301, cpu_percent: 50.5
17, memory_percent: 5.8965672541690655, cpu_percent: 46.2
18, memory_percent: 7.142140609766674, cpu_percent: 64.7
19, memory_percent: 7.237752994026055, cpu_percent: 81.1
20, memory_percent: 7.237752994026055, cpu_percent: 51.0
21, memory_percent: 7.237752994026055, cpu_percent: 50.8
22, memory_percent: 7.237752994026055, cpu_percent: 51.0
23, memory_percent: 7.237752994026055, cpu_percent: 51.0
24, memory_percent: 7.237752994026055, cpu_percent: 50.8
25, memory_percent: 7.237752994026055, cpu_percent: 51.0
26, memory_percent: 7.237752994026055, cpu_percent: 50.5
27, memory_percent: 7.237752994026055, cpu_percent: 51.2
28, memory_percent: 7.237752994026055, cpu_percent: 50.5
29, memory_percent: 7.237752994026055, cpu_percent: 50.5
30, memory_percent: 7.237752994026055, cpu_percent: 51.0
31, memory_percent: 7.237752994026055, cpu_percent: 50.8
32, memory_percent: 7.237752994026055, cpu_percent: 51.0
33, memory_percent: 7.237752994026055, cpu_percent: 50.7
34, memory_percent: 7.237752994026055, cpu_percent: 50.3
35, memory_percent: 7.237752994026055, cpu_percent: 51.0
36, memory_percent: 7.237752994026055, cpu_percent: 50.8
37, memory_percent: 7.237752994026055, cpu_percent: 51.2
38, memory_percent: 7.237752994026055, cpu_percent: 50.3
39, memory_percent: 7.237752994026055, cpu_percent: 50.8
40, memory_percent: 7.237752994026055, cpu_percent: 50.8
41, memory_percent: 7.237752994026055, cpu_percent: 52.8
42, memory_percent: 7.237752994026055, cpu_percent: 51.0
43, memory_percent: 7.237752994026055, cpu_percent: 50.5
44, memory_percent: 7.237752994026055, cpu_percent: 51.0
45, memory_percent: 7.237752994026055, cpu_percent: 51.0
46, memory_percent: 7.237752994026055, cpu_percent: 50.5
47, memory_percent: 7.237752994026055, cpu_percent: 50.5
48, memory_percent: 7.237752994026055, cpu_percent: 51.0
49, memory_percent: 7.237752994026055, cpu_percent: 50.8
50, memory_percent: 7.237752994026055, cpu_percent: 50.8
51, memory_percent: 7.237752994026055, cpu_percent: 51.0
52, memory_percent: 7.237752994026055, cpu_percent: 51.0
53, memory_percent: 7.237752994026055, cpu_percent: 50.8
54, memory_percent: 7.237752994026055, cpu_percent: 50.5
55, memory_percent: 7.237752994026055, cpu_percent: 50.8
56, memory_percent: 7.237752994026055, cpu_percent: 51.0
57, memory_percent: 7.237752994026055, cpu_percent: 51.0
58, memory_percent: 7.237752994026055, cpu_percent: 50.5
59, memory_percent: 7.237752994026055, cpu_percent: 50.8
60, memory_percent: 7.237752994026055, cpu_percent: 51.0
61, memory_percent: 7.237752994026055, cpu_percent: 51.0
62, memory_percent: 7.237752994026055, cpu_percent: 50.7
63, memory_percent: 7.237752994026055, cpu_percent: 51.0
64, memory_percent: 7.237752994026055, cpu_percent: 50.8
65, memory_percent: 7.237752994026055, cpu_percent: 51.0
66, memory_percent: 7.237752994026055, cpu_percent: 51.0
67, memory_percent: 7.237752994026055, cpu_percent: 50.5
68, memory_percent: 7.237752994026055, cpu_percent: 51.0
69, memory_percent: 7.237752994026055, cpu_percent: 50.8
70, memory_percent: 7.237752994026055, cpu_percent: 51.2
71, memory_percent: 7.237752994026055, cpu_percent: 51.5
72, memory_percent: 7.237752994026055, cpu_percent: 51.3
73, memory_percent: 7.237752994026055, cpu_percent: 50.7
74, memory_percent: 7.237752994026055, cpu_percent: 50.8
75, memory_percent: 7.237752994026055, cpu_percent: 51.0
76, memory_percent: 7.237752994026055, cpu_percent: 50.8
77, memory_percent: 7.237752994026055, cpu_percent: 50.5
78, memory_percent: 7.237752994026055, cpu_percent: 50.8
79, memory_percent: 7.237752994026055, cpu_percent: 51.0
80, memory_percent: 7.237752994026055, cpu_percent: 51.0
81, memory_percent: 7.237752994026055, cpu_percent: 51.0
82, memory_percent: 7.237752994026055, cpu_percent: 50.5
83, memory_percent: 7.237752994026055, cpu_percent: 50.8
84, memory_percent: 7.237752994026055, cpu_percent: 51.2
85, memory_percent: 7.237752994026055, cpu_percent: 51.0
86, memory_percent: 7.237752994026055, cpu_percent: 51.0
87, memory_percent: 7.237752994026055, cpu_percent: 50.5
88, memory_percent: 7.237752994026055, cpu_percent: 51.0
89, memory_percent: 7.237752994026055, cpu_percent: 50.8
90, memory_percent: 7.237752994026055, cpu_percent: 50.7
91, memory_percent: 7.237752994026055, cpu_percent: 51.2
92, memory_percent: 7.237752994026055, cpu_percent: 50.8
93, memory_percent: 7.237752994026055, cpu_percent: 50.8
94, memory_percent: 7.237752994026055, cpu_percent: 50.5
95, memory_percent: 7.237752994026055, cpu_percent: 51.0
96, memory_percent: 7.237752994026055, cpu_percent: 51.0
97, memory_percent: 7.237752994026055, cpu_percent: 51.2
98, memory_percent: 7.237752994026055, cpu_percent: 51.0
99, memory_percent: 7.237752994026055, cpu_percent: 50.5
100, memory_percent: 7.237752994026055, cpu_percent: 51.0
101, memory_percent: 7.237752994026055, cpu_percent: 50.5
102, memory_percent: 7.237752994026055, cpu_percent: 50.5
103, memory_percent: 7.237752994026055, cpu_percent: 51.3
104, memory_percent: 7.237752994026055, cpu_percent: 50.5
105, memory_percent: 7.237752994026055, cpu_percent: 51.0
106, memory_percent: 7.237752994026055, cpu_percent: 50.8
107, memory_percent: 7.237752994026055, cpu_percent: 50.5
108, memory_percent: 7.237752994026055, cpu_percent: 50.8
109, memory_percent: 7.237752994026055, cpu_percent: 51.2
110, memory_percent: 7.237752994026055, cpu_percent: 50.8
111, memory_percent: 7.237752994026055, cpu_percent: 50.5
112, memory_percent: 7.237752994026055, cpu_percent: 51.0
113, memory_percent: 7.237752994026055, cpu_percent: 50.8
114, memory_percent: 7.237752994026055, cpu_percent: 50.5
115, memory_percent: 7.237752994026055, cpu_percent: 51.2
116, memory_percent: 7.237752994026055, cpu_percent: 50.8
117, memory_percent: 7.237752994026055, cpu_percent: 50.3
118, memory_percent: 7.237752994026055, cpu_percent: 50.8
119, memory_percent: 7.237752994026055, cpu_percent: 50.8
120, memory_percent: 7.237752994026055, cpu_percent: 51.0
121, memory_percent: 7.237752994026055, cpu_percent: 50.7
122, memory_percent: 7.237752994026055, cpu_percent: 50.8
123, memory_percent: 7.237752994026055, cpu_percent: 50.8
124, memory_percent: 7.237752994026055, cpu_percent: 50.7
125, memory_percent: 7.237752994026055, cpu_percent: 51.0
126, memory_percent: 7.237752994026055, cpu_percent: 50.5
127, memory_percent: 7.237752994026055, cpu_percent: 50.8
128, memory_percent: 7.237752994026055, cpu_percent: 50.7
129, memory_percent: 7.237752994026055, cpu_percent: 50.8
130, memory_percent: 7.237752994026055, cpu_percent: 50.8
131, memory_percent: 7.237752994026055, cpu_percent: 51.0
132, memory_percent: 7.237752994026055, cpu_percent: 50.5
133, memory_percent: 7.237752994026055, cpu_percent: 51.2
134, memory_percent: 7.237752994026055, cpu_percent: 51.0
135, memory_percent: 7.237752994026055, cpu_percent: 51.2
136, memory_percent: 7.237752994026055, cpu_percent: 51.0
137, memory_percent: 7.237752994026055, cpu_percent: 50.8
138, memory_percent: 7.237752994026055, cpu_percent: 50.8
139, memory_percent: 7.237752994026055, cpu_percent: 51.0
140, memory_percent: 7.237752994026055, cpu_percent: 51.0
141, memory_percent: 7.237752994026055, cpu_percent: 50.5
142, memory_percent: 7.237752994026055, cpu_percent: 51.0
