1, memory_percent: 57.27440166790125, cpu_percent: 100.0
2, memory_percent: 57.27440166790125, cpu_percent: 100.0
3, memory_percent: 57.27440166790125, cpu_percent: 100.0
4, memory_percent: 57.27440166790125, cpu_percent: 100.0
5, memory_percent: 57.27440166790125, cpu_percent: 100.0
6, memory_percent: 57.27440166790125, cpu_percent: 100.0
7, memory_percent: 57.27440166790125, cpu_percent: 100.0
8, memory_percent: 57.27440166790125, cpu_percent: 100.0
9, memory_percent: 57.27440166790125, cpu_percent: 100.0
10, memory_percent: 57.27440166790125, cpu_percent: 100.0
11, memory_percent: 57.27440166790125, cpu_percent: 100.0
12, memory_percent: 57.27440166790125, cpu_percent: 100.0
13, memory_percent: 57.27440166790125, cpu_percent: 100.0
14, memory_percent: 57.27440166790125, cpu_percent: 100.0
15, memory_percent: 57.27440166790125, cpu_percent: 100.0
16, memory_percent: 57.27440166790125, cpu_percent: 100.0
17, memory_percent: 57.27440166790125, cpu_percent: 100.0
18, memory_percent: 57.27440166790125, cpu_percent: 100.0
19, memory_percent: 57.27440166790125, cpu_percent: 100.0
20, memory_percent: 57.27440166790125, cpu_percent: 100.0
21, memory_percent: 57.27440166790125, cpu_percent: 100.0
22, memory_percent: 57.27440166790125, cpu_percent: 100.0
23, memory_percent: 57.27440166790125, cpu_percent: 100.0
24, memory_percent: 57.27440166790125, cpu_percent: 100.0
25, memory_percent: 57.27440166790125, cpu_percent: 100.0
26, memory_percent: 57.27440166790125, cpu_percent: 100.0
27, memory_percent: 57.27440166790125, cpu_percent: 100.0
28, memory_percent: 57.27440166790125, cpu_percent: 100.0
29, memory_percent: 57.27440166790125, cpu_percent: 100.0
30, memory_percent: 57.27598672357369, cpu_percent: 100.0
31, memory_percent: 57.27598672357369, cpu_percent: 100.0
32, memory_percent: 57.27598672357369, cpu_percent: 100.0
33, memory_percent: 57.27598672357369, cpu_percent: 100.0
34, memory_percent: 57.27598672357369, cpu_percent: 100.0
35, memory_percent: 57.27598672357369, cpu_percent: 100.0
36, memory_percent: 57.27598672357369, cpu_percent: 100.0
37, memory_percent: 56.035627824701294, cpu_percent: 100.0
38, memory_percent: 56.035627824701294, cpu_percent: 30.0
39, memory_percent: 56.035627824701294, cpu_percent: 0.0
40, memory_percent: 56.035627824701294, cpu_percent: 1.0
41, memory_percent: 56.035627824701294, cpu_percent: 1.0
42, memory_percent: 56.035627824701294, cpu_percent: 1.0
43, memory_percent: 56.035627824701294, cpu_percent: 0.0
44, memory_percent: 56.035627824701294, cpu_percent: 0.0
45, memory_percent: 56.035627824701294, cpu_percent: 4.9
46, memory_percent: 56.035627824701294, cpu_percent: 2.0
47, memory_percent: 56.035627824701294, cpu_percent: 2.0
48, memory_percent: 56.035627824701294, cpu_percent: 1.0
49, memory_percent: 56.035627824701294, cpu_percent: 0.0
50, memory_percent: 56.035627824701294, cpu_percent: 0.0
51, memory_percent: 56.035627824701294, cpu_percent: 2.0
52, memory_percent: 56.035627824701294, cpu_percent: 0.0
53, memory_percent: 56.035627824701294, cpu_percent: 2.0
54, memory_percent: 56.035627824701294, cpu_percent: 1.0
55, memory_percent: 56.035627824701294, cpu_percent: 0.0
56, memory_percent: 56.035627824701294, cpu_percent: 2.9
57, memory_percent: 56.035627824701294, cpu_percent: 0.0
58, memory_percent: 56.035627824701294, cpu_percent: 1.0
59, memory_percent: 56.035627824701294, cpu_percent: 0.0
60, memory_percent: 56.035627824701294, cpu_percent: 0.0
61, memory_percent: 56.035627824701294, cpu_percent: 0.0
62, memory_percent: 56.035627824701294, cpu_percent: 1.0
63, memory_percent: 56.035627824701294, cpu_percent: 1.0
64, memory_percent: 56.655595933381164, cpu_percent: 12.1
65, memory_percent: 55.09230835884392, cpu_percent: 100.0
66, memory_percent: 55.10604550800507, cpu_percent: 100.0
67, memory_percent: 55.12844762817552, cpu_percent: 100.0
68, memory_percent: 55.15560491536331, cpu_percent: 100.0
69, memory_percent: 55.175048264945225, cpu_percent: 100.0
70, memory_percent: 55.21985250528616, cpu_percent: 100.0
71, memory_percent: 55.23115923574956, cpu_percent: 100.0
72, memory_percent: 55.275963476090496, cpu_percent: 100.0
73, memory_percent: 55.275963476090496, cpu_percent: 100.0
74, memory_percent: 55.314321823363514, cpu_percent: 100.0
75, memory_percent: 55.344015199627194, cpu_percent: 100.0
76, memory_percent: 55.34560025529963, cpu_percent: 100.0
77, memory_percent: 55.34560025529963, cpu_percent: 100.0
78, memory_percent: 55.34560025529963, cpu_percent: 100.0
79, memory_percent: 55.34560025529963, cpu_percent: 100.0
80, memory_percent: 55.34560025529963, cpu_percent: 100.0
81, memory_percent: 55.34560025529963, cpu_percent: 100.0
82, memory_percent: 55.368002375470105, cpu_percent: 100.0
83, memory_percent: 55.36810804584826, cpu_percent: 100.0
84, memory_percent: 55.390510166018736, cpu_percent: 100.0
85, memory_percent: 55.39114418828771, cpu_percent: 100.0
86, memory_percent: 55.39114418828771, cpu_percent: 100.0
87, memory_percent: 55.41354630845817, cpu_percent: 100.0
88, memory_percent: 55.43594842862865, cpu_percent: 100.0
89, memory_percent: 55.4583505487991, cpu_percent: 100.0
90, memory_percent: 55.48075266896958, cpu_percent: 100.0
91, memory_percent: 55.496497555315806, cpu_percent: 100.0
92, memory_percent: 55.52280947947828, cpu_percent: 100.0
93, memory_percent: 55.52967805405885, cpu_percent: 100.0
94, memory_percent: 55.57374260175265, cpu_percent: 100.0
95, memory_percent: 55.59614472192311, cpu_percent: 100.0
96, memory_percent: 55.63186130974207, cpu_percent: 100.0
97, memory_percent: 55.65426342991253, cpu_percent: 100.0
98, memory_percent: 55.659758289576985, cpu_percent: 100.0
99, memory_percent: 55.68216040974746, cpu_percent: 100.0
100, memory_percent: 55.694523843992485, cpu_percent: 100.0
101, memory_percent: 55.69832797760633, cpu_percent: 100.0
102, memory_percent: 55.72073009777681, cpu_percent: 100.0
103, memory_percent: 55.74313221794726, cpu_percent: 100.0
